L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
7,2,7,3,0.0,0.5,5.0,6.0,1.5,26,7,19,0.2692,1.1641,30.2665,19.8583,1.3358,17.1981,-4.7432,-37.4737,17.54,21.6111,-8.1166,"{'sl': 19, 'tp': 7}",23,-0.586,0.462
10,3,7,3,0.05,0.5,5.0,4.0,2.0,29,20,9,0.6897,5.6567,164.0444,347.0291,4.1503,10.8059,-5.7859,-9.5234,17.14,21.8246,-8.2308,"{'sl': 9, 'tp': 19, 'end': 1}",27,-0.592,0.448
10,3,7,3,0.05,0.0,5.0,5.0,1.5,35,11,24,0.3143,1.3441,47.0418,40.0537,1.4432,13.9264,-4.4229,-29.9613,13.54,23.6027,-8.6981,"{'sl': 24, 'tp': 11}",32,-0.599,0.314
10,3,7,3,0.0,0.0,10.0,4.0,2.0,33,12,21,0.3636,-0.1086,-3.5853,-14.9604,0.9739,11.1478,-6.5409,-47.0066,13.58,17.1149,-11.7953,"{'sl': 21, 'tp': 12}",29,-0.617,0.424
7,2,7,3,0.05,0.0,5.0,6.0,1.5,37,10,27,0.2703,0.8935,33.0597,19.1237,1.262,15.9229,-4.6729,-49.8606,17.35,21.6111,-8.1166,"{'sl': 27, 'tp': 10}",29,-0.624,0.378
7,2,7,3,0.05,0.5,10.0,5.0,1.0,47,6,41,0.1277,-1.4743,-69.291,-53.7205,0.5278,12.9107,-3.5794,-57.5607,9.79,17.5312,-6.0957,"{'sl': 41, 'tp': 6}",36,-0.624,0.298
10,3,7,5,0.05,0.0,10.0,6.0,1.5,29,9,20,0.3103,2.2589,65.509,63.2438,1.7612,16.841,-4.303,-18.6892,20.97,28.3433,-8.3217,"{'sl': 20, 'tp': 8, 'end': 1}",28,-0.625,0.345
7,2,7,3,0.05,0.0,10.0,5.0,1.0,51,7,44,0.1373,-1.3608,-69.4007,-53.9157,0.5486,12.0505,-3.4944,-55.9733,9.61,17.5312,-6.0957,"{'sl': 44, 'tp': 7}",38,-0.63,0.275
7,3,7,3,0.05,0.5,10.0,6.0,1.5,34,8,26,0.2353,-0.7143,-24.2863,-31.4364,0.8285,14.6619,-5.4455,-53.7708,12.5,21.0575,-8.8715,"{'sl': 26, 'tp': 7, 'end': 1}",29,-0.632,0.382
7,2,5,3,0.0,0.5,5.0,6.0,1.5,22,7,15,0.3182,2.2435,49.356,45.7888,1.6949,17.1981,-4.7354,-33.4698,16.14,21.6111,-8.1166,"{'sl': 15, 'tp': 7}",20,-0.633,0.455
7,2,7,3,0.05,0.5,5.0,5.0,1.0,34,6,28,0.1765,-0.3576,-12.159,-16.9318,0.8643,12.9107,-3.2008,-36.3657,8.44,17.5312,-5.4444,"{'sl': 28, 'tp': 6}",27,-0.647,0.324
7,2,7,3,0.05,0.5,5.0,5.0,1.5,34,10,24,0.2941,0.8108,27.5669,16.2807,1.243,14.1016,-4.727,-39.5399,14.65,17.9926,-8.1166,"{'sl': 24, 'tp': 10}",27,-0.649,0.353
7,2,7,3,0.05,0.0,5.0,5.0,1.0,38,7,31,0.1842,-0.3229,-12.2687,-17.2821,0.873,12.0505,-3.1168,-33.9855,8.34,17.5312,-5.4444,"{'sl': 31, 'tp': 7}",29,-0.652,0.289
10,3,7,5,0.05,0.0,5.0,6.0,1.5,27,8,19,0.2963,2.6073,70.3975,71.7469,1.8786,18.8147,-4.2168,-14.6145,21.19,28.3433,-8.3217,"{'sl': 19, 'tp': 8}",27,-0.656,0.37
7,2,5,3,0.05,0.5,10.0,5.0,1.0,39,6,33,0.1538,-1.0166,-39.6474,-37.3674,0.6615,12.9107,-3.5488,-47.2146,10.67,17.5312,-6.0957,"{'sl': 33, 'tp': 6}",32,-0.663,0.308
7,2,5,3,0.05,0.0,10.0,5.0,1.0,43,7,36,0.1628,-0.9246,-39.7571,-37.6316,0.6797,12.0505,-3.4475,-45.2402,10.37,17.5312,-6.0957,"{'sl': 36, 'tp': 7}",35,-0.666,0.279
7,3,7,3,0.05,0.0,5.0,6.0,1.5,38,11,27,0.2895,0.9869,37.5036,26.5106,1.3157,14.2106,-4.4005,-34.1515,14.66,21.0575,-8.6981,"{'sl': 27, 'tp': 11}",30,-0.671,0.395
10,2,5,3,0.05,0.0,5.0,6.0,1.5,24,6,18,0.25,0.5092,12.2196,0.8043,1.1326,17.3965,-5.12,-30.5565,16.04,21.6111,-8.3217,"{'sl': 18, 'tp': 6}",22,-0.671,0.417
10,2,5,3,0.05,0.5,5.0,6.0,1.5,24,6,18,0.25,0.5092,12.2196,0.8043,1.1326,17.3965,-5.12,-30.5565,16.04,21.6111,-8.3217,"{'sl': 18, 'tp': 6}",22,-0.671,0.417
7,2,7,5,0.05,0.5,5.0,5.0,1.0,30,8,22,0.2667,1.1536,34.6087,30.268,1.5143,12.7382,-3.0589,-21.9478,18.9,23.9534,-7.1599,"{'sl': 22, 'tp': 8}",24,-0.681,0.3
7,2,5,5,0.05,0.5,10.0,5.0,1.0,35,8,27,0.2286,0.7914,27.6988,19.0458,1.3144,14.4766,-3.2635,-28.0849,16.4,23.9534,-7.1599,"{'sl': 27, 'tp': 8}",28,-0.687,0.314
10,3,5,3,0.05,0.0,10.0,5.0,1.5,29,8,21,0.2759,-0.3066,-8.8913,-16.3402,0.9139,11.7933,-4.9161,-36.3964,16.0,17.5312,-8.6981,"{'sl': 21, 'tp': 7, 'end': 1}",26,-0.688,0.31
7,2,5,5,0.05,0.5,5.0,5.0,1.0,29,7,22,0.2414,0.9658,28.0076,22.2013,1.4162,13.6149,-3.0589,-26.781,19.34,23.9534,-7.1599,"{'sl': 22, 'tp': 7}",24,-0.694,0.31
