ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
005830.KS,2020-11-03,2020-11-11,32772.6445,33755.8239,2.9,6,tp
032640.KS,2020-11-03,2020-11-05,8387.5869,8639.2145,2.9,2,tp
051910.KS,2020-11-03,2020-11-05,614791.0,633234.73,2.9,2,tp
000660.KS,2020-11-04,2020-11-05,78073.3125,80415.5119,2.9,1,tp
000990.KS,2020-11-04,2020-11-10,32304.666,31440.1768,-2.7761,4,sl
006400.KS,2020-11-05,2020-11-06,478696.5625,493057.4594,2.9,1,tp
012450.KS,2020-11-05,2020-11-10,26694.5176,27495.3531,2.9,3,tp
017670.KS,2020-11-05,2020-11-11,35309.9531,36369.2517,2.9,4,tp
017900.KS,2020-11-05,2020-11-06,2066.4644,2004.3818,-3.1043,1,sl
180640.KS,2020-11-05,2020-11-09,83408.5938,85910.8516,2.9,2,tp
207940.KS,2020-11-05,2020-11-10,1188202.75,1145604.0,-3.6851,3,sl
035720.KS,2020-11-06,2020-11-11,73659.9375,70379.5318,-4.5534,3,sl
103140.KS,2020-11-06,2020-11-10,21146.9473,21781.3557,2.9,2,tp
007070.KS,2020-11-09,2020-11-10,35690.2227,36760.9293,2.9,1,tp
009540.KS,2020-11-09,2020-11-10,84161.8359,86686.691,2.9,1,tp
010140.KS,2020-11-09,2020-11-10,5283.2681,5441.7661,2.9,1,tp
036570.KS,2020-11-09,2020-11-10,793899.4375,776967.8855,-2.2327,1,sl
042660.KS,2020-11-09,2020-11-11,20728.1777,21350.0231,2.9,2,tp
051910.KS,2020-11-09,2020-11-11,687891.125,642906.397,-6.6395,2,sl
009150.KS,2020-11-10,2020-11-12,130542.875,134459.1613,2.9,2,tp
012330.KS,2020-11-10,2020-11-17,215864.7969,222340.7408,2.9,5,tp
017900.KS,2020-11-10,2020-11-13,2146.2849,2210.6735,2.9,3,tp
078930.KS,2020-11-10,2020-11-11,26574.8145,27372.0589,2.9,1,tp
004310.KS,2020-11-11,2020-11-17,6221.0977,6407.7306,2.9,4,tp
004990.KS,2020-11-11,2020-11-17,25100.5117,25853.5271,2.9,4,tp
005380.KS,2020-11-11,2020-11-16,138660.1406,142819.9448,2.9,3,tp
015760.KS,2020-11-11,2020-11-17,19444.3203,20027.6499,2.9,4,tp
051900.KS,2020-11-11,2020-11-12,1485562.625,1530129.5038,2.9,1,tp
047040.KS,2020-11-12,2020-11-13,3600.0,3708.0,2.9,1,tp
011210.KS,2020-11-13,2020-11-25,42201.8633,41790.7989,-1.074,8,sl
032830.KS,2020-11-13,2020-11-17,52370.6484,53941.7679,2.9,2,tp
035720.KS,2020-11-13,2020-11-24,72665.8672,74845.8432,2.9,7,tp
042700.KS,2020-11-13,2020-11-16,5392.2461,5554.0135,2.9,1,tp
051910.KS,2020-11-13,2020-11-16,660712.75,637283.2199,-3.6461,1,sl
000100.KS,2020-11-16,2020-11-17,50446.7227,49890.6175,-1.2024,1,sl
000990.KS,2020-11-16,2020-11-19,31576.6738,30530.1894,-3.4141,3,sl
005830.KS,2020-11-16,2020-11-17,33090.8281,32560.5257,-1.7026,1,sl
006980.KS,2020-11-16,2020-11-17,27348.7812,27172.9048,-0.7431,1,sl
007070.KS,2020-11-16,2020-11-19,36064.2188,35957.3626,-0.3963,3,sl
009160.KS,2020-11-16,2020-11-30,4035.926,4157.0038,2.9,10,tp
009540.KS,2020-11-16,2020-11-17,92381.8594,95153.3152,2.9,1,tp
011070.KS,2020-11-16,2020-11-20,148721.75,153183.4025,2.9,4,tp
012450.KS,2020-11-16,2020-11-19,28228.6836,27512.7392,-2.6362,3,sl
017670.KS,2020-11-16,2020-11-19,36735.0117,36418.3315,-0.9621,3,sl
021050.KS,2020-11-16,2020-11-18,3125.1968,3040.8661,-2.7984,2,sl
028050.KS,2020-11-16,2020-11-19,12033.1074,12394.1006,2.9,3,tp
028100.KS,2020-11-16,2020-11-25,13381.3203,13297.1614,-0.7289,7,sl
028260.KS,2020-11-16,2020-11-20,109281.6406,106637.7321,-2.5194,4,sl
030210.KS,2020-11-16,2020-11-17,2205.8376,2272.0128,2.9,1,tp
035510.KS,2020-11-16,2020-11-25,10802.6973,10716.9622,-0.8936,7,sl
039490.KS,2020-11-16,2020-11-23,98715.5469,91091.1815,-7.8236,5,sl
042660.KS,2020-11-16,2020-11-17,22727.1211,23408.9347,2.9,1,tp
047040.KS,2020-11-16,2020-11-17,3595.0,3702.85,2.9,1,tp
047810.KS,2020-11-16,2020-11-19,22988.5039,22699.9453,-1.3552,3,sl
051600.KS,2020-11-16,2020-11-17,22638.9902,22367.6325,-1.2986,1,sl
055550.KS,2020-11-16,2020-11-24,24523.377,25259.0783,2.9,6,tp
066570.KS,2020-11-16,2020-11-17,81526.8281,80301.5754,-1.6029,1,sl
099750.KS,2020-11-16,2020-11-19,9355.46,9636.1238,2.9,3,tp
180640.KS,2020-11-16,2020-11-20,80851.2578,71408.7754,-11.7788,4,sl
