ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
001450.KS,2020-10-05,2020-10-06,17868.1406,18404.1848,2.9,1,tp
009160.KS,2020-10-05,2020-10-14,4010.9102,3994.2327,-0.5158,6,sl
035720.KS,2020-10-05,2020-10-06,73659.9375,75869.7356,2.9,1,tp
086790.KS,2020-10-05,2020-10-12,19988.334,20587.984,2.9,4,tp
005830.KS,2020-10-06,2020-10-13,32984.7695,32525.1702,-1.4934,4,sl
011810.KS,2020-10-06,2020-10-12,6522.4648,6718.1388,2.9,3,tp
103140.KS,2020-10-06,2020-10-14,21397.7012,21063.3625,-1.6625,5,sl
004310.KS,2020-10-07,2020-10-08,6366.2246,6557.2113,2.9,1,tp
009150.KS,2020-10-07,2020-10-15,133818.1719,131478.6829,-1.8483,5,sl
011070.KS,2020-10-07,2020-10-15,156747.9844,152498.7894,-2.8108,5,sl
004020.KS,2020-10-08,2020-10-13,23129.8906,23823.7873,2.9,2,tp
016360.KS,2020-10-08,2020-10-12,22051.4199,22712.9625,2.9,1,tp
021050.KS,2020-10-08,2020-10-12,3388.1104,3318.6614,-2.1498,1,sl
042660.KS,2020-10-08,2020-10-12,21119.2754,21752.8537,2.9,1,tp
007070.KS,2020-10-12,2020-10-16,38628.7852,36277.9352,-6.1857,4,sl
090430.KS,2020-10-12,2020-10-14,166659.0469,160415.3384,-3.8464,2,sl
005380.KS,2020-10-14,2020-10-15,140635.3281,139055.1861,-1.2236,1,sl
012330.KS,2020-10-14,2020-10-19,207355.6406,204668.4762,-1.3959,3,sl
015760.KS,2020-10-14,2020-10-16,19352.8184,19933.4029,2.9,2,tp
021050.KS,2020-10-14,2020-10-16,3293.8584,3392.6742,2.9,2,tp
004020.KS,2020-10-15,2020-10-16,25777.0273,26550.3382,2.9,1,tp
005490.KS,2020-10-15,2020-10-23,165829.7188,170804.6103,2.9,6,tp
051900.KS,2020-10-15,2020-10-21,1483671.25,1462867.75,-1.5022,4,sl
016360.KS,2020-10-16,2020-10-19,22329.2344,22999.1114,2.9,1,tp
017900.KS,2020-10-16,2020-10-19,1995.5128,2055.3782,2.9,1,tp
018260.KS,2020-10-16,2020-10-19,155264.2031,159922.1292,2.9,1,tp
042700.KS,2020-10-16,2020-10-19,5252.791,5410.3747,2.9,1,tp
103140.KS,2020-10-16,2020-10-19,21188.7402,21824.4024,2.9,1,tp
000150.KS,2020-10-19,2020-10-20,41021.6797,40570.3961,-1.2001,1,sl
000810.KS,2020-10-19,2020-10-23,137428.8281,141551.693,2.9,4,tp
000990.KS,2020-10-19,2020-10-20,32122.666,32031.667,-0.3833,1,sl
001450.KS,2020-10-19,2020-10-22,18814.7969,19379.2408,2.9,3,tp
002380.KS,2020-10-19,2020-10-22,135093.6875,130911.2098,-3.196,3,sl
005940.KS,2020-10-19,2020-10-20,6295.6567,6200.7814,-1.607,1,sl
006980.KS,2020-10-19,2020-10-26,27260.8418,26821.1538,-1.7129,5,sl
007070.KS,2020-10-19,2020-10-23,38415.0742,37934.2196,-1.3517,4,sl
009150.KS,2020-10-19,2020-10-22,131010.7734,129139.191,-1.5286,3,sl
011070.KS,2020-10-19,2020-10-23,154859.4375,148249.6175,-4.3683,4,sl
011210.KS,2020-10-19,2020-10-20,37771.5781,37451.8671,-0.9464,1,sl
012450.KS,2020-10-19,2020-10-23,26592.2402,27390.0074,2.9,4,tp
015760.KS,2020-10-19,2020-10-20,19581.5762,19215.5642,-1.9692,1,sl
017670.KS,2020-10-19,2020-10-21,36814.1992,37918.6252,2.9,2,tp
032830.KS,2020-10-19,2020-10-22,47149.1641,48563.639,2.9,3,tp
069500.KS,2020-10-19,2020-10-27,27889.5859,27818.3019,-0.3556,6,sl
069960.KS,2020-10-19,2020-10-22,58523.0,60278.69,2.9,3,tp
086790.KS,2020-10-19,2020-10-21,20431.7598,21044.7126,2.9,2,tp
099750.KS,2020-10-19,2020-10-22,9778.4463,9604.2761,-1.8812,3,sl
105560.KS,2020-10-19,2020-10-22,30300.2969,31209.3058,2.9,3,tp
241560.KS,2020-10-19,2020-10-21,24947.1836,25695.5991,2.9,2,tp
161390.KS,2020-10-20,2020-10-26,27110.3301,27923.64,2.9,4,tp
