ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
005830.KS,2020-11-03,2020-11-11,32772.6445,33755.8239,2.9,6,tp
032640.KS,2020-11-03,2020-11-05,8387.5869,8639.2145,2.9,2,tp
051910.KS,2020-11-03,2020-11-05,614791.0,633234.73,2.9,2,tp
000660.KS,2020-11-04,2020-11-05,78073.3125,80415.5119,2.9,1,tp
000990.KS,2020-11-04,2020-11-25,32304.666,33273.806,2.9,15,tp
006400.KS,2020-11-05,2020-11-06,478696.5625,493057.4594,2.9,1,tp
012450.KS,2020-11-05,2020-11-10,26694.5176,27495.3531,2.9,3,tp
017670.KS,2020-11-05,2020-11-11,35309.9531,36369.2517,2.9,4,tp
017900.KS,2020-11-05,2020-11-06,2066.4644,2004.3818,-3.1043,1,sl
180640.KS,2020-11-05,2020-11-09,83408.5938,85910.8516,2.9,2,tp
207940.KS,2020-11-05,2020-11-18,1188202.75,1223848.8325,2.9,9,tp
035720.KS,2020-11-06,2020-12-04,73659.9375,75869.7356,2.9,20,tp
103140.KS,2020-11-06,2020-11-10,21146.9473,21781.3557,2.9,2,tp
007070.KS,2020-11-09,2020-11-10,35690.2227,36760.9293,2.9,1,tp
009540.KS,2020-11-09,2020-11-10,84161.8359,86686.691,2.9,1,tp
010140.KS,2020-11-09,2020-11-10,5283.2681,5441.7661,2.9,1,tp
036570.KS,2020-11-09,2020-11-10,793899.4375,776967.8855,-2.2327,1,sl
042660.KS,2020-11-09,2020-11-11,20728.1777,21350.0231,2.9,2,tp
051910.KS,2020-11-09,2020-11-24,687891.125,708527.8588,2.9,11,tp
009150.KS,2020-11-10,2020-11-12,130542.875,134459.1613,2.9,2,tp
012330.KS,2020-11-10,2020-11-17,215864.7969,222340.7408,2.9,5,tp
017900.KS,2020-11-10,2020-11-13,2146.2849,2210.6735,2.9,3,tp
078930.KS,2020-11-10,2020-11-11,26574.8145,27372.0589,2.9,1,tp
004310.KS,2020-11-11,2020-11-17,6221.0977,6407.7306,2.9,4,tp
004990.KS,2020-11-11,2020-11-17,25100.5117,25853.5271,2.9,4,tp
005380.KS,2020-11-11,2020-11-16,138660.1406,142819.9448,2.9,3,tp
015760.KS,2020-11-11,2020-11-17,19444.3203,20027.6499,2.9,4,tp
051900.KS,2020-11-11,2020-11-12,1485562.625,1530129.5038,2.9,1,tp
047040.KS,2020-11-12,2020-11-13,3600.0,3708.0,2.9,1,tp
011210.KS,2020-11-13,2020-11-30,42201.8633,43467.9192,2.9,11,tp
032830.KS,2020-11-13,2020-11-17,52370.6484,53941.7679,2.9,2,tp
042700.KS,2020-11-13,2020-11-16,5392.2461,5554.0135,2.9,1,tp
000100.KS,2020-11-16,2020-11-17,50446.7227,49890.6175,-1.2024,1,sl
005830.KS,2020-11-16,2020-11-17,33090.8281,32560.5257,-1.7026,1,sl
006980.KS,2020-11-16,2020-11-17,27348.7812,27172.9048,-0.7431,1,sl
007070.KS,2020-11-16,2020-12-11,36064.2188,37146.1453,2.9,19,tp
009160.KS,2020-11-16,2020-11-30,4035.926,4157.0038,2.9,10,tp
009540.KS,2020-11-16,2020-11-17,92381.8594,95153.3152,2.9,1,tp
011070.KS,2020-11-16,2020-11-20,148721.75,153183.4025,2.9,4,tp
012450.KS,2020-11-16,2020-11-19,28228.6836,27461.5995,-2.8174,3,sl
017670.KS,2020-11-16,2020-11-19,36735.0117,36022.4838,-2.0396,3,sl
021050.KS,2020-11-16,2020-11-18,3125.1968,3040.8661,-2.7984,2,sl
028050.KS,2020-11-16,2020-11-19,12033.1074,12394.1006,2.9,3,tp
028100.KS,2020-11-16,2020-12-02,13381.3203,13782.7599,2.9,12,tp
028260.KS,2020-11-16,2020-12-11,109281.6406,112560.0898,2.9,19,tp
030210.KS,2020-11-16,2020-11-17,2205.8376,2272.0128,2.9,1,tp
035510.KS,2020-11-16,2020-11-26,10802.6973,10631.2262,-1.6873,8,sl
039490.KS,2020-11-16,2020-11-26,98715.5469,101677.0133,2.9,8,tp
042660.KS,2020-11-16,2020-11-17,22727.1211,23408.9347,2.9,1,tp
047040.KS,2020-11-16,2020-11-17,3595.0,3702.85,2.9,1,tp
047810.KS,2020-11-16,2020-11-23,22988.5039,23678.159,2.9,5,tp
051600.KS,2020-11-16,2020-11-17,22638.9902,22367.6325,-1.2986,1,sl
055550.KS,2020-11-16,2020-11-24,24523.377,25259.0783,2.9,6,tp
066570.KS,2020-11-16,2020-11-17,81526.8281,80301.5754,-1.6029,1,sl
099750.KS,2020-11-16,2020-11-19,9355.46,9636.1238,2.9,3,tp
180640.KS,2020-11-16,2020-12-01,80851.2578,70130.1056,-13.3603,11,sl
000720.KS,2020-11-17,2020-11-25,31332.1914,32272.1571,2.9,6,tp
090430.KS,2020-11-17,2020-11-20,177705.6094,183036.7777,2.9,3,tp
161390.KS,2020-11-17,2020-11-19,27110.3301,27923.64,2.9,2,tp
000070.KS,2020-11-18,2020-11-26,57159.9688,54462.1582,-4.8198,6,sl
