L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
10,3,5,5,0.05,0.5,5.0,6.0,1.5,70,16,54,0.2286,-0.0913,-6.388,-27.212,0.9748,15.4617,-4.6996,-52.903,18.83,22.7304,-9.3412,"{'sl': 54, 'tp': 16}",50,-0.195,0.429
5,2,5,3,0.05,0.0,10.0,4.0,1.0,102,20,82,0.1961,-0.2514,-25.6451,-36.5868,0.9046,12.152,-3.2767,-55.939,8.97,21.8246,-7.2165,"{'sl': 82, 'tp': 18, 'end': 2}",61,-0.195,0.431
7,2,7,3,0.05,0.0,10.0,5.0,1.0,112,16,96,0.1429,-1.0246,-114.76,-74.9295,0.6669,14.3596,-3.5887,-78.1683,11.9,28.4084,-7.2165,"{'sl': 96, 'tp': 16}",65,-0.195,0.402
10,3,7,3,0.0,0.0,5.0,6.0,1.5,36,15,21,0.4167,4.9352,177.6689,358.5175,3.0793,17.5411,-4.0689,-13.3496,17.89,42.2594,-6.2165,"{'tp': 14, 'sl': 21, 'end': 1}",30,-0.196,0.444
10,3,5,3,0.05,0.5,10.0,4.0,2.0,42,26,16,0.619,4.3428,182.3979,400.6539,2.7778,10.9613,-6.4123,-19.5608,19.67,28.1396,-10.4494,"{'tp': 24, 'sl': 16, 'end': 2}",33,-0.199,0.476
10,2,5,3,0.05,0.5,10.0,4.0,2.0,70,32,38,0.4571,1.2214,85.4973,68.5247,1.3053,11.4234,-7.3698,-46.3357,19.8,21.8246,-14.3329,"{'sl': 38, 'tp': 30, 'end': 2}",51,-0.205,0.443
7,3,5,3,0.0,0.0,10.0,5.0,1.5,21,7,14,0.3333,1.1966,25.1287,17.1252,1.3333,14.3602,-5.3852,-45.8204,14.43,20.0289,-8.5261,"{'tp': 7, 'sl': 14}",18,-0.206,0.476
7,3,5,3,0.05,0.0,5.0,5.0,1.0,55,13,42,0.2364,0.6209,34.1516,26.836,1.2969,11.4766,-2.7391,-46.1624,10.29,17.5312,-5.8321,"{'sl': 42, 'tp': 13}",40,-0.207,0.364
7,2,7,3,0.05,0.0,10.0,6.0,1.5,108,23,85,0.213,-0.279,-30.1287,-55.8315,0.9329,18.2028,-5.2799,-80.6325,19.14,35.3203,-10.7747,"{'sl': 85, 'tp': 21, 'end': 2}",65,-0.207,0.417
10,3,7,3,0.05,0.5,5.0,5.0,1.5,47,19,28,0.4043,3.2807,154.1945,265.6287,2.2288,14.7198,-4.4815,-25.9712,14.64,35.1995,-8.6981,"{'tp': 19, 'sl': 28}",38,-0.212,0.319
10,3,7,3,0.05,0.0,5.0,5.0,1.5,55,20,35,0.3636,2.4947,137.2078,205.3539,1.9009,14.4751,-4.3512,-29.4586,14.0,35.1995,-8.6981,"{'tp': 20, 'sl': 35}",43,-0.214,0.345
5,3,5,3,0.0,0.5,5.0,5.0,1.0,67,17,50,0.2537,0.8657,58.0041,46.2296,1.3372,13.5317,-3.4407,-37.159,12.99,27.5022,-9.8894,"{'sl': 50, 'tp': 16, 'end': 1}",51,-0.216,0.418
10,2,7,3,0.05,0.5,10.0,4.0,2.0,86,37,49,0.4302,0.8124,69.8627,33.074,1.1921,11.7193,-7.4235,-52.5419,18.66,21.8246,-14.3329,"{'sl': 49, 'tp': 35, 'end': 2}",58,-0.216,0.453
5,3,7,3,0.0,0.5,5.0,5.0,1.0,68,17,51,0.25,0.8037,54.6488,41.3232,1.3116,13.5317,-3.439,-37.159,12.88,27.5022,-9.8894,"{'sl': 51, 'tp': 16, 'end': 1}",51,-0.217,0.412
7,2,7,3,0.05,0.0,5.0,6.0,1.5,80,17,63,0.2125,-0.316,-25.2786,-43.094,0.9179,16.6205,-4.8862,-64.5988,18.2,24.3898,-9.8902,"{'sl': 63, 'tp': 17}",53,-0.222,0.425
10,3,5,3,0.0,0.5,10.0,4.0,2.0,23,14,9,0.6087,4.9809,114.5609,171.9184,2.7809,12.7777,-7.1474,-30.0213,21.13,28.1396,-10.4494,"{'tp': 14, 'sl': 9}",20,-0.225,0.435
7,2,7,3,0.05,0.5,10.0,5.0,1.5,103,23,80,0.2233,-0.5384,-55.46,-62.6958,0.871,16.2819,-5.3743,-84.1245,17.81,29.4169,-10.7747,"{'sl': 80, 'tp': 22, 'end': 1}",65,-0.226,0.408
10,3,5,5,0.0,0.5,5.0,6.0,1.5,34,4,30,0.1176,-2.6379,-89.6877,-62.6697,0.4088,15.5018,-5.0565,-62.9484,17.0,17.2977,-9.3412,"{'sl': 30, 'tp': 4}",27,-0.226,0.441
7,2,7,3,0.05,0.5,5.0,5.0,1.5,75,17,58,0.2267,-0.6137,-46.0271,-50.7658,0.8407,14.2913,-4.9824,-66.0639,17.53,20.3082,-9.8902,"{'sl': 58, 'tp': 17}",53,-0.233,0.4
7,2,5,3,0.05,0.5,10.0,6.0,1.5,95,20,75,0.2105,-0.2023,-19.2172,-48.8126,0.9519,19.024,-5.3293,-80.2501,19.62,35.3203,-10.7747,"{'sl': 75, 'tp': 18, 'end': 2}",62,-0.235,0.411
10,3,5,5,0.0,0.5,10.0,6.0,1.5,40,6,34,0.15,-2.3641,-94.5628,-65.0377,0.4532,13.0646,-5.0868,-62.7197,16.55,17.2977,-9.3412,"{'sl': 34, 'tp': 5, 'end': 1}",32,-0.238,0.45
7,2,5,3,0.05,0.5,5.0,5.0,1.0,72,13,59,0.1806,-0.2781,-20.024,-30.0496,0.8996,13.8,-3.3801,-51.4851,13.81,20.3082,-6.6268,"{'sl': 59, 'tp': 13}",51,-0.244,0.431
7,2,7,3,0.05,0.5,5.0,5.0,1.0,77,13,64,0.1688,-0.4663,-35.9037,-40.4849,0.8332,13.8,-3.3641,-55.0864,13.3,20.3082,-6.6268,"{'sl': 64, 'tp': 13}",53,-0.244,0.429
10,3,5,3,0.05,0.0,5.0,5.0,1.5,45,16,29,0.3556,2.2232,100.0437,121.6167,1.7722,14.3504,-4.4677,-23.2849,15.76,35.1995,-8.6981,"{'tp': 16, 'sl': 29}",34,-0.245,0.333
10,3,5,3,0.05,0.5,5.0,5.0,1.5,37,15,22,0.4054,3.163,117.0304,165.3624,2.139,14.6521,-4.6705,-23.2849,16.95,35.1995,-8.6981,"{'tp': 15, 'sl': 22}",29,-0.25,0.297
5,3,5,3,0.0,0.0,5.0,5.0,1.0,78,19,59,0.2436,0.9279,72.3772,61.8214,1.3647,14.254,-3.3635,-43.2964,13.5,27.5022,-9.8894,"{'sl': 59, 'tp': 18, 'end': 1}",54,-0.253,0.423
10,3,7,3,0.05,0.0,10.0,4.0,2.0,65,34,31,0.5231,2.8522,185.3908,371.9112,1.9617,11.1224,-6.2184,-28.5622,16.82,28.1396,-11.7953,"{'tp': 32, 'sl': 31, 'end': 2}",49,-0.254,0.492
5,3,7,3,0.0,0.0,5.0,5.0,1.0,79,19,60,0.2405,0.8737,69.0219,56.3918,1.342,14.254,-3.3634,-44.1724,13.41,27.5022,-9.8894,"{'sl': 60, 'tp': 18, 'end': 1}",54,-0.254,0.418
10,3,5,3,0.0,0.0,10.0,4.0,2.0,30,15,15,0.5,3.0983,92.9488,117.2222,2.0145,12.3048,-6.1082,-31.7878,19.57,28.1396,-10.4494,"{'tp': 15, 'sl': 15}",25,-0.255,0.433
10,3,5,3,0.05,0.5,5.0,4.0,2.0,37,25,12,0.6757,5.8025,214.6933,602.0915,4.1003,11.3577,-5.7708,-15.6441,19.81,28.1396,-8.3317,"{'tp': 24, 'sl': 12, 'end': 1}",29,-0.259,0.486
10,3,7,5,0.05,0.0,10.0,6.0,1.5,93,22,71,0.2366,0.2845,26.4603,-10.8869,1.0811,16.0325,-4.5951,-57.9535,17.95,28.3433,-9.3412,"{'sl': 71, 'tp': 21, 'end': 1}",61,-0.265,0.441
10,3,5,3,0.0,0.5,5.0,4.0,2.0,20,14,6,0.7,7.0444,140.888,258.2845,4.7076,12.7777,-6.3332,-9.952,23.25,28.1396,-8.2553,"{'tp': 14, 'sl': 6}",18,-0.273,0.45
7,2,7,3,0.05,0.0,5.0,5.0,1.0,84,15,69,0.1786,-0.2989,-25.11,-34.6151,0.8891,13.423,-3.282,-50.6201,12.75,20.3082,-6.6268,"{'sl': 69, 'tp': 15}",53,-0.274,0.393
7,2,5,3,0.05,0.0,5.0,5.0,1.0,79,15,64,0.1899,-0.1168,-9.2303,-23.1507,0.9562,13.423,-3.2902,-42.0932,13.18,20.3082,-6.6268,"{'sl': 64, 'tp': 15}",52,-0.276,0.392
10,3,5,5,0.05,0.0,10.0,6.0,1.5,87,20,67,0.2299,-0.1293,-11.2476,-34.5122,0.9636,14.877,-4.6088,-57.0471,17.59,26.9768,-9.3412,"{'sl': 67, 'tp': 19, 'end': 1}",57,-0.28,0.448
5,3,5,3,0.05,0.5,5.0,5.0,1.0,111,27,84,0.2432,0.8643,95.9382,93.2085,1.3637,13.3237,-3.1405,-59.7375,11.34,27.5022,-9.8894,"{'tp': 26, 'sl': 84, 'end': 1}",69,-0.291,0.369
5,3,7,3,0.05,0.5,5.0,5.0,1.0,112,27,85,0.2411,0.8266,92.5829,86.7258,1.3465,13.3237,-3.143,-59.7375,11.29,27.5022,-9.8894,"{'tp': 26, 'sl': 85, 'end': 1}",69,-0.291,0.366
10,3,5,3,0.0,0.0,5.0,4.0,2.0,27,15,12,0.5556,4.4176,119.2759,186.2159,2.8267,12.3048,-5.4413,-12.1179,20.96,28.1396,-8.2553,"{'tp': 15, 'sl': 12}",23,-0.294,0.444
10,3,7,5,0.05,0.0,5.0,6.0,1.5,85,20,65,0.2353,0.5013,42.6082,6.8558,1.1451,16.8168,-4.5189,-55.5138,18.61,28.3433,-9.3412,"{'sl': 65, 'tp': 20}",56,-0.295,0.435
5,3,5,3,0.05,0.0,5.0,5.0,1.0,131,31,100,0.2366,0.8398,110.0087,111.7812,1.3604,13.3957,-3.0526,-62.9975,12.04,27.5022,-9.8894,"{'tp': 30, 'sl': 100, 'end': 1}",74,-0.306,0.382
5,3,7,3,0.05,0.0,5.0,5.0,1.0,132,31,101,0.2348,0.808,106.6534,104.6753,1.3456,13.3957,-3.0556,-62.9975,11.99,27.5022,-9.8894,"{'tp': 30, 'sl': 101, 'end': 1}",74,-0.306,0.379
7,2,5,3,0.05,0.5,5.0,6.0,1.5,70,14,56,0.2,-0.498,-34.8629,-46.6821,0.8751,17.4547,-4.9862,-69.4461,18.31,24.3898,-9.8902,"{'sl': 56, 'tp': 14}",51,-0.31,0.414
10,3,5,5,0.05,0.0,5.0,6.0,1.5,80,18,62,0.225,-0.013,-1.0396,-26.1377,0.9963,15.62,-4.5516,-56.4214,18.06,26.9768,-9.3412,"{'sl': 62, 'tp': 18}",53,-0.314,0.438
10,3,5,3,0.05,0.0,10.0,5.0,1.5,50,17,33,0.34,1.5197,75.985,72.752,1.4913,13.5681,-4.687,-32.6626,15.22,35.1995,-8.6981,"{'tp': 16, 'sl': 33, 'end': 1}",38,-0.317,0.34
7,2,7,3,0.05,0.5,10.0,6.0,1.5,102,20,82,0.1961,-0.5616,-57.2853,-65.4339,0.8691,19.024,-5.3386,-84.843,19.31,35.3203,-10.7747,"{'sl': 82, 'tp': 18, 'end': 2}",65,-0.323,0.392
10,3,7,3,0.05,0.5,10.0,4.0,2.0,57,32,25,0.5614,3.4353,195.8101,432.9191,2.2005,11.2162,-6.5243,-25.8251,16.89,28.1396,-11.7953,"{'tp': 30, 'sl': 25, 'end': 2}",44,-0.328,0.456
10,3,7,3,0.05,0.0,5.0,4.0,2.0,55,32,23,0.5818,4.2838,235.6086,716.0895,2.8942,11.2498,-5.4081,-18.4808,16.91,28.1396,-8.3317,"{'tp': 31, 'sl': 23, 'end': 1}",43,-0.331,0.491
10,3,5,3,0.05,0.5,10.0,5.0,1.5,42,16,26,0.381,2.2136,92.9717,106.852,1.7271,13.802,-4.9177,-23.7752,16.17,35.1995,-8.6981,"{'tp': 15, 'sl': 26, 'end': 1}",33,-0.335,0.31
10,3,7,3,0.0,0.5,5.0,6.0,1.5,29,14,15,0.4828,6.5419,189.7152,421.0482,3.9265,18.1815,-4.3217,-14.1655,20.41,42.2594,-6.2165,"{'tp': 13, 'sl': 15, 'end': 1}",25,-0.34,0.414
10,3,7,3,0.05,0.0,10.0,6.0,1.5,65,21,44,0.3231,2.473,160.742,238.2555,1.7807,17.4588,-4.6794,-38.5548,14.77,42.2594,-8.8715,"{'tp': 20, 'sl': 44, 'end': 1}",49,-0.344,0.415
7,3,7,3,0.05,0.0,5.0,4.0,2.0,64,29,35,0.4531,1.2445,79.6457,84.57,1.4341,9.0731,-5.2421,-38.8252,15.7,14.7756,-10.0389,"{'sl': 34, 'tp': 28, 'end': 2}",43,-0.35,0.5
7,2,7,3,0.05,0.5,5.0,6.0,1.5,74,14,60,0.1892,-0.7086,-52.4352,-55.4655,0.8233,17.4547,-4.9467,-71.0504,18.36,24.3898,-9.8902,"{'sl': 60, 'tp': 14}",53,-0.383,0.392
10,3,7,5,0.0,0.0,10.0,6.0,1.5,49,10,39,0.2041,-0.451,-22.0999,-35.0697,0.8856,17.1135,-4.9548,-54.7493,17.14,28.3433,-9.3412,"{'sl': 39, 'tp': 9, 'end': 1}",38,-0.384,0.449
10,3,7,3,0.05,0.5,10.0,6.0,1.5,57,20,37,0.3509,3.0832,175.7437,297.8343,1.9814,17.7412,-4.84,-36.7896,15.4,42.2594,-8.8715,"{'tp': 19, 'sl': 37, 'end': 1}",44,-0.396,0.404
10,3,7,5,0.0,0.0,5.0,6.0,1.5,42,8,34,0.1905,-0.2687,-11.2849,-26.294,0.932,19.3444,-4.8835,-53.6204,17.95,28.3433,-9.3412,"{'sl': 34, 'tp': 8}",32,-0.397,0.452
7,3,7,3,0.05,0.0,10.0,6.0,1.5,76,21,55,0.2763,0.8795,66.8437,38.4766,1.2648,15.2013,-4.5888,-61.4258,14.33,45.6926,-8.8715,"{'sl': 55, 'tp': 20, 'end': 1}",52,-0.41,0.434
10,3,7,3,0.0,0.0,10.0,4.0,2.0,44,20,24,0.4545,2.1423,94.2609,107.3793,1.6232,12.2759,-6.3024,-44.31,16.25,28.1396,-11.7953,"{'tp': 20, 'sl': 24}",36,-0.419,0.409
10,3,7,3,0.0,0.5,10.0,4.0,2.0,37,19,18,0.5135,3.1317,115.873,159.5971,1.9348,12.6228,-6.8867,-41.9736,16.59,28.1396,-11.7953,"{'tp': 19, 'sl': 18}",31,-0.432,0.405
10,3,7,3,0.05,0.5,5.0,4.0,2.0,47,30,17,0.6383,5.2346,246.0279,821.5921,3.5973,11.3584,-5.5719,-12.4361,17.02,28.1396,-8.3317,"{'tp': 29, 'sl': 17, 'end': 1}",38,-0.434,0.447
7,3,5,3,0.05,0.0,5.0,4.0,2.0,55,26,29,0.4727,1.6722,91.9709,113.9214,1.6291,9.1599,-5.0409,-33.6588,16.18,14.7756,-10.0389,"{'tp': 25, 'sl': 28, 'end': 2}",40,-0.445,0.509
7,3,7,3,0.05,0.5,10.0,6.0,1.5,64,17,47,0.2656,0.8761,56.0686,27.471,1.2513,16.4209,-4.7465,-59.881,13.75,45.6926,-8.8715,"{'sl': 47, 'tp': 16, 'end': 1}",47,-0.461,0.406
10,3,7,3,0.0,0.0,5.0,4.0,2.0,36,19,17,0.5278,3.8232,137.6342,233.7527,2.5163,12.0212,-5.3393,-15.5939,17.31,28.1396,-8.2553,"{'tp': 19, 'sl': 17}",30,-0.471,0.417
7,3,7,3,0.05,0.0,5.0,6.0,1.5,64,18,46,0.2812,0.906,57.9817,44.173,1.3045,13.8016,-4.1402,-49.8048,14.53,21.0575,-8.6981,"{'sl': 46, 'tp': 18}",43,-0.471,0.438
10,3,7,3,0.05,0.0,5.0,6.0,1.5,55,19,36,0.3455,3.3719,185.4565,353.6598,2.2011,17.8874,-4.289,-25.9712,15.56,42.2594,-8.6981,"{'tp': 19, 'sl': 36}",43,-0.475,0.382
10,3,5,5,0.0,0.0,10.0,6.0,1.5,44,7,37,0.1591,-1.7276,-76.0146,-59.2443,0.5809,15.052,-4.9021,-63.5465,15.91,26.9768,-9.3412,"{'sl': 37, 'tp': 6, 'end': 1}",33,-0.481,0.432
10,3,7,3,0.0,0.5,5.0,4.0,2.0,29,18,11,0.6207,5.4913,159.2463,317.7911,3.5089,12.3733,-5.7702,-12.4814,18.0,28.1396,-8.2553,"{'tp': 18, 'sl': 11}",25,-0.499,0.414
10,3,5,5,0.0,0.0,5.0,6.0,1.5,38,5,33,0.1316,-1.8721,-71.1395,-56.484,0.5557,17.7968,-4.8522,-64.8564,16.21,26.9768,-9.3412,"{'sl': 33, 'tp': 5}",28,-0.508,0.421
