ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
001450.KS,2020-10-05,2020-10-06,17868.1406,18404.1848,2.9,1,tp
009160.KS,2020-10-05,2020-10-20,4010.9102,3844.1364,-4.258,10,sl
035720.KS,2020-10-05,2020-10-06,73659.9375,75869.7356,2.9,1,tp
086790.KS,2020-10-05,2020-10-12,19988.334,20587.984,2.9,4,tp
005830.KS,2020-10-06,2020-10-15,32984.7695,31358.5147,-5.0303,6,sl
011810.KS,2020-10-06,2020-10-12,6522.4648,6718.1388,2.9,3,tp
103140.KS,2020-10-06,2020-10-19,21397.7012,22039.6322,2.9,8,tp
004310.KS,2020-10-07,2020-10-08,6366.2246,6557.2113,2.9,1,tp
009150.KS,2020-10-07,2020-10-16,133818.1719,128671.2981,-3.9462,6,sl
011070.KS,2020-10-07,2020-10-26,156747.9844,144944.6818,-7.6301,12,sl
004020.KS,2020-10-08,2020-10-13,23129.8906,23823.7873,2.9,2,tp
016360.KS,2020-10-08,2020-10-12,22051.4199,22712.9625,2.9,1,tp
021050.KS,2020-10-08,2020-10-12,3388.1104,3318.6614,-2.1498,1,sl
042660.KS,2020-10-08,2020-10-12,21119.2754,21752.8537,2.9,1,tp
007070.KS,2020-10-12,2020-10-29,38628.7852,34942.2274,-9.6436,13,sl
090430.KS,2020-10-12,2020-10-14,166659.0469,159454.7716,-4.4228,2,sl
005380.KS,2020-10-14,2020-10-15,140635.3281,139055.1861,-1.2236,1,sl
012330.KS,2020-10-14,2020-10-19,207355.6406,201533.5284,-2.9078,3,sl
015760.KS,2020-10-14,2020-10-16,19352.8184,19933.4029,2.9,2,tp
021050.KS,2020-10-14,2020-10-16,3293.8584,3392.6742,2.9,2,tp
004020.KS,2020-10-15,2020-10-16,25777.0273,26550.3382,2.9,1,tp
005490.KS,2020-10-15,2020-10-23,165829.7188,170804.6103,2.9,6,tp
051900.KS,2020-10-15,2020-10-22,1483671.25,1428825.4476,-3.7966,5,sl
016360.KS,2020-10-16,2020-10-19,22329.2344,22999.1114,2.9,1,tp
017900.KS,2020-10-16,2020-10-19,1995.5128,2055.3782,2.9,1,tp
018260.KS,2020-10-16,2020-10-19,155264.2031,159922.1292,2.9,1,tp
042700.KS,2020-10-16,2020-10-19,5252.791,5410.3747,2.9,1,tp
000150.KS,2020-10-19,2020-10-20,41021.6797,40570.3961,-1.2001,1,sl
000810.KS,2020-10-19,2020-10-23,137428.8281,141551.693,2.9,4,tp
000990.KS,2020-10-19,2020-10-20,32122.666,32031.667,-0.3833,1,sl
001450.KS,2020-10-19,2020-10-22,18814.7969,19379.2408,2.9,3,tp
002380.KS,2020-10-19,2020-10-23,135093.6875,128819.9698,-4.744,4,sl
005940.KS,2020-10-19,2020-10-20,6295.6567,6200.7814,-1.607,1,sl
006980.KS,2020-10-19,2020-10-27,27260.8418,26645.2761,-2.3581,6,sl
009150.KS,2020-10-19,2020-10-22,131010.7734,128203.4219,-2.2428,3,sl
