ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
000990.KS,2020-12-16,2020-12-17,31804.1719,32758.297,2.9,1,tp
005830.KS,2020-12-16,2021-01-12,32348.4102,31287.8033,-3.3787,16,sl
009160.KS,2020-12-16,2020-12-29,4077.6199,4199.9485,2.9,8,tp
011070.KS,2020-12-16,2020-12-23,158636.5,163395.595,2.9,5,tp
028100.KS,2020-12-16,2020-12-17,13423.3984,13255.08,-1.3539,1,sl
017900.KS,2020-12-17,2021-01-08,2084.2024,2146.7285,2.9,13,tp
001040.KS,2020-12-18,2020-12-23,72038.5938,74199.7516,2.9,3,tp
004310.KS,2020-12-18,2020-12-21,6194.3784,6380.2098,2.9,1,tp
007070.KS,2020-12-18,2020-12-22,36919.082,36491.6509,-1.2578,2,sl
000070.KS,2020-12-21,2020-12-30,63651.5898,65561.1375,2.9,6,tp
036570.KS,2020-12-21,2020-12-23,812712.3125,837093.6819,2.9,2,tp
032640.KS,2020-12-22,2020-12-23,8715.7949,8977.2688,2.9,1,tp
047810.KS,2020-12-23,2020-12-28,24142.7383,24867.0204,2.9,2,tp
247540.KS,2020-12-23,2020-12-24,39147.7344,40322.1664,2.9,1,tp
000720.KS,2020-12-24,2020-12-30,33576.75,34584.0525,2.9,3,tp
034730.KS,2020-12-24,2021-01-04,199607.9219,205596.1595,2.9,4,tp
001040.KS,2020-12-28,2020-12-29,77320.2656,79639.8736,2.9,1,tp
003550.KS,2020-12-28,2020-12-29,77245.2891,79562.6477,2.9,1,tp
036570.KS,2020-12-28,2020-12-29,844694.0,870034.82,2.9,1,tp
051600.KS,2020-12-28,2021-01-05,24189.6035,23336.7672,-3.6256,4,sl
055550.KS,2020-12-28,2021-01-07,24744.9727,25487.3218,2.9,6,tp
078000.KS,2020-12-28,2021-01-11,8941.0,8761.4603,-2.108,8,sl
096770.KS,2020-12-28,2020-12-29,165587.5469,170555.1733,2.9,1,tp
001450.KS,2020-12-29,2021-01-04,18621.084,18380.9114,-1.3898,2,sl
007070.KS,2020-12-29,2021-01-06,37684.1719,38814.697,2.9,4,tp
028100.KS,2020-12-29,2021-01-04,13191.6602,13587.41,2.9,2,tp
032640.KS,2020-12-29,2021-01-05,8865.9287,9131.9066,2.9,3,tp
035510.KS,2020-12-29,2020-12-30,10806.2246,11130.4113,2.9,1,tp
099750.KS,2020-12-29,2021-01-11,9504.749,9181.2892,-3.5031,7,sl
207940.KS,2020-12-29,2021-01-11,1250579.625,1288097.0137,2.9,7,tp
002790.KS,2021-01-04,2021-01-06,51184.0156,52719.5361,2.9,2,tp
006980.KS,2021-01-04,2021-01-05,26867.3242,27673.3439,2.9,1,tp
010130.KS,2021-01-04,2021-01-05,343725.9062,354037.6834,2.9,1,tp
097950.KS,2021-01-05,2021-01-08,371556.5625,382703.2594,2.9,3,tp
006980.KS,2021-01-14,2021-01-18,28855.8613,29721.5372,2.9,2,tp
005830.KS,2021-01-19,2021-01-20,31219.8164,31145.4835,-0.3381,1,sl
078000.KS,2021-01-19,2021-01-29,8926.0586,8664.6282,-3.0288,8,sl
000150.KS,2021-01-21,2021-01-22,51483.1719,53027.667,2.9,1,tp
035420.KS,2021-01-21,2021-01-22,313857.9688,323273.7078,2.9,1,tp
298040.KS,2021-01-21,2021-01-22,65235.9023,67192.9794,2.9,1,tp
034020.KS,2021-01-22,2021-01-26,12860.5391,13246.3552,2.9,2,tp
