L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
7,2,7,3,0.0,0.5,5.0,4.0,2.0,24,11,13,0.4583,1.9437,46.65,41.8038,1.5227,12.3544,-6.8652,-26.1638,21.71,19.3253,-10.5039,"{'sl': 13, 'tp': 11}",18,1.138,0.625
7,3,7,3,0.05,0.5,5.0,6.0,1.5,20,9,11,0.45,4.8889,97.7775,132.0317,2.833,16.7912,-4.8494,-15.3707,13.15,22.1249,-7.9029,"{'sl': 11, 'tp': 9}",16,1.137,0.35
7,2,7,3,0.0,1.0,10.0,4.0,2.0,29,12,17,0.4138,1.4484,42.0023,29.2509,1.3422,13.7293,-7.2205,-31.6632,20.66,23.5135,-12.0914,"{'sl': 17, 'tp': 11, 'end': 1}",23,1.122,0.655
7,3,7,3,0.05,1.0,10.0,6.0,1.0,28,10,18,0.3571,4.142,115.9765,167.6171,2.734,18.2859,-3.7157,-24.5536,7.79,30.0457,-5.9477,"{'sl': 18, 'tp': 10}",24,1.117,0.571
7,3,10,3,0.05,1.0,5.0,6.0,1.5,20,9,11,0.45,4.9106,98.2114,133.1758,2.8562,16.7912,-4.8099,-21.6126,11.7,22.1249,-7.9029,"{'sl': 11, 'tp': 9}",19,1.1,0.35
7,2,7,3,0.0,0.0,5.0,4.0,2.0,25,11,14,0.44,1.6921,42.3037,35.6406,1.452,12.3544,-6.6853,-26.1638,22.68,19.3253,-10.5039,"{'sl': 14, 'tp': 11}",19,1.094,0.64
7,3,7,3,0.05,0.0,5.0,6.0,1.5,25,11,14,0.44,4.8849,122.1237,188.1916,2.9555,16.7794,-4.4607,-13.7154,15.08,22.1249,-7.9029,"{'sl': 14, 'tp': 11}",20,1.091,0.44
7,3,10,3,0.05,0.5,10.0,6.0,1.5,34,12,22,0.3529,2.5421,86.43,91.609,1.7405,16.9292,-5.3055,-36.1996,10.71,30.0457,-8.8716,"{'sl': 22, 'tp': 11, 'end': 1}",26,1.087,0.441
10,3,5,3,0.0,0.0,10.0,6.0,1.5,20,8,12,0.4,4.4385,88.77,110.7701,2.4746,18.6211,-5.0165,-12.4717,26.75,22.1249,-7.9029,"{'sl': 12, 'tp': 8}",20,1.084,0.6
7,3,7,3,0.05,1.0,10.0,8.0,1.5,28,12,16,0.4286,6.5503,183.4084,348.9141,3.0967,22.5737,-5.4672,-28.7971,25.11,40.0943,-8.8716,"{'sl': 16, 'tp': 11, 'end': 1}",24,1.081,0.5
5,3,3,5,0.05,1.0,3.0,6.0,1.0,46,9,37,0.1957,0.9622,44.2607,34.2169,1.3937,17.4102,-3.0387,-20.792,18.65,24.0698,-5.8515,"{'tp': 9, 'sl': 37}",32,1.079,0.609
5,3,5,5,0.05,1.0,3.0,6.0,1.0,46,9,37,0.1957,0.9622,44.2607,34.2169,1.3937,17.4102,-3.0387,-20.792,18.65,24.0698,-5.8515,"{'tp': 9, 'sl': 37}",32,1.079,0.609
5,3,7,5,0.05,1.0,3.0,6.0,1.0,46,9,37,0.1957,0.9622,44.2607,34.2169,1.3937,17.4102,-3.0387,-20.792,18.65,24.0698,-5.8515,"{'tp': 9, 'sl': 37}",32,1.079,0.609
