L,S,W,k,eps,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit
7,5,5,3,0.05,3.0,2.0,106,55,51,0.5189,2.1139,224.0707,524.5611,1.7116,9.7995,-6.1746,-35.7115,16.04,22.7963,-14.3329,"{'tp': 55, 'sl': 51}",62
10,3,7,5,0.05,4.0,2.0,90,43,47,0.4778,2.4794,223.148,519.1959,1.7965,11.7048,-5.9608,-34.4513,20.22,21.8246,-12.4215,"{'sl': 47, 'tp': 42, 'end': 1}",61
7,5,7,3,0.05,3.0,2.0,108,56,52,0.5185,2.0683,223.3761,517.1257,1.6931,9.7442,-6.1981,-35.7115,15.86,22.7963,-14.3329,"{'tp': 56, 'sl': 52}",62
10,5,5,5,0.05,4.0,2.0,84,40,44,0.4762,2.5678,215.6917,488.145,1.8373,11.8324,-5.8547,-37.638,19.08,23.5899,-14.0363,"{'tp': 38, 'sl': 43, 'end': 3}",58
10,3,10,5,0.05,4.0,2.0,98,45,53,0.4592,2.2257,218.1223,467.0208,1.6911,11.8606,-5.9548,-36.6249,19.62,22.906,-12.4215,"{'sl': 53, 'tp': 44, 'end': 1}",67
10,5,7,5,0.05,4.0,2.0,85,40,45,0.4706,2.4825,211.0091,460.6045,1.8045,11.8324,-5.8286,-37.638,19.06,23.5899,-14.0363,"{'tp': 38, 'sl': 44, 'end': 3}",58
5,3,5,3,0.0,3.0,2.0,100,54,46,0.54,2.1526,215.2649,456.5064,1.6684,9.9501,-7.0009,-57.2076,14.11,22.9036,-19.6788,"{'sl': 45, 'tp': 51, 'end': 4}",65
10,3,7,5,0.05,3.0,2.0,90,51,39,0.5667,2.2031,198.2832,444.6545,1.8308,8.5675,-6.1194,-33.7616,15.23,16.3435,-12.4215,"{'sl': 39, 'tp': 50, 'end': 1}",61
10,5,10,5,0.05,4.0,2.0,88,41,47,0.4659,2.3642,208.0527,440.3192,1.7593,11.7572,-5.8296,-37.638,18.76,23.5899,-14.0363,"{'tp': 39, 'sl': 46, 'end': 3}",59
5,3,7,3,0.0,3.0,2.0,101,54,47,0.5347,2.0659,208.6542,419.7174,1.6349,9.9501,-6.9926,-60.0365,14.09,22.9036,-19.6788,"{'sl': 46, 'tp': 51, 'end': 4}",65
5,3,10,3,0.0,3.0,2.0,101,54,47,0.5347,2.0659,208.6542,419.7174,1.6349,9.9501,-6.9926,-60.0365,14.09,22.9036,-19.6788,"{'sl': 46, 'tp': 51, 'end': 4}",65
10,3,7,3,0.05,4.0,2.0,65,34,31,0.5231,2.8522,185.3908,371.9112,1.9617,11.1224,-6.2184,-28.5622,16.82,28.1396,-11.7953,"{'tp': 32, 'sl': 31, 'end': 2}",49
10,3,10,5,0.05,3.0,2.0,98,53,45,0.5408,1.8939,185.6015,366.9992,1.6771,8.6737,-6.0913,-35.8192,15.0,17.1545,-12.4215,"{'sl': 45, 'tp': 52, 'end': 1}",67
10,3,5,5,0.05,4.0,2.0,84,39,45,0.4643,2.2374,187.9403,354.0076,1.7108,11.5988,-5.8759,-44.382,20.26,21.8246,-12.4215,"{'sl': 45, 'tp': 38, 'end': 1}",57
10,3,5,5,0.05,3.0,2.0,84,47,37,0.5595,2.0942,175.913,347.2964,1.7891,8.4857,-6.0247,-41.5715,14.99,16.3435,-12.4215,"{'sl': 37, 'tp': 46, 'end': 1}",57
10,3,5,3,0.05,4.0,2.0,50,28,22,0.56,3.4396,171.9786,343.3397,2.3003,10.8657,-6.0118,-25.1788,19.12,28.1396,-10.4494,"{'tp': 26, 'sl': 22, 'end': 2}",38
10,3,5,3,0.05,3.0,2.0,50,32,18,0.64,3.264,163.2004,331.2628,2.4628,8.5865,-6.1982,-17.1493,14.76,21.0797,-10.4494,"{'tp': 31, 'sl': 18, 'end': 1}",38
7,3,10,5,0.05,3.0,2.0,239,112,127,0.4686,0.9464,226.1897,325.7772,1.2878,9.036,-6.1877,-61.8887,14.97,22.7963,-17.4699,"{'sl': 122, 'tp': 108, 'end': 9}",90
7,3,7,5,0.05,3.0,2.0,238,111,127,0.4664,0.9222,219.4864,299.0291,1.2793,9.057,-6.1877,-61.8887,15.0,22.7963,-17.4699,"{'sl': 122, 'tp': 107, 'end': 9}",90
10,3,7,3,0.05,3.0,2.0,65,38,27,0.5846,2.4305,157.9818,288.7939,1.9181,8.6858,-6.3733,-17.9934,13.32,21.0797,-11.7953,"{'tp': 37, 'sl': 27, 'end': 1}",49
5,3,5,5,0.05,4.0,2.0,286,120,166,0.4196,0.9458,270.5027,287.8419,1.2396,11.6607,-6.7999,-79.9323,19.23,24.6156,-17.4699,"{'sl': 161, 'tp': 112, 'end': 13}",93
5,3,7,5,0.05,4.0,2.0,286,120,166,0.4196,0.9458,270.5027,287.8419,1.2396,11.6607,-6.7999,-79.9323,19.23,24.6156,-17.4699,"{'sl': 161, 'tp': 112, 'end': 13}",93
5,3,10,5,0.05,4.0,2.0,286,120,166,0.4196,0.9458,270.5027,287.8419,1.2396,11.6607,-6.7999,-79.9323,19.23,24.6156,-17.4699,"{'sl': 161, 'tp': 112, 'end': 13}",93
7,3,5,5,0.05,3.0,2.0,234,108,126,0.4615,0.9046,211.6784,271.601,1.2719,9.1697,-6.1798,-63.3265,14.95,22.7963,-17.4699,"{'sl': 121, 'tp': 104, 'end': 9}",90
7,5,5,5,0.0,3.0,2.0,202,98,104,0.4851,1.0419,210.4645,270.7865,1.2911,9.5249,-6.9517,-60.8158,15.85,22.6782,-17.3569,"{'sl': 101, 'tp': 96, 'end': 5}",88
7,5,7,5,0.0,3.0,2.0,202,98,104,0.4851,1.0419,210.4645,270.7865,1.2911,9.5249,-6.9517,-60.8158,15.85,22.6782,-17.3569,"{'sl': 101, 'tp': 96, 'end': 5}",88
7,5,10,5,0.0,3.0,2.0,202,98,104,0.4851,1.0419,210.4645,270.7865,1.2911,9.5249,-6.9517,-60.8158,15.85,22.6782,-17.3569,"{'sl': 101, 'tp': 96, 'end': 5}",88
10,3,10,3,0.05,4.0,2.0,69,34,35,0.4928,2.3474,161.9726,270.1995,1.7492,11.1224,-6.1768,-30.3035,17.41,28.1396,-11.7953,"{'tp': 32, 'sl': 35, 'end': 2}",50
7,3,7,5,0.05,3.0,1.0,243,77,166,0.3169,0.7181,174.4868,260.6896,1.3244,9.2522,-3.2406,-28.932,8.2,20.1288,-8.7849,"{'sl': 165, 'tp': 75, 'end': 3}",90
7,3,10,5,0.05,4.0,2.0,233,94,139,0.4034,0.9901,230.7049,253.1719,1.2633,11.775,-6.3032,-69.5451,19.37,30.4284,-17.4699,"{'sl': 134, 'tp': 89, 'end': 10}",90
7,3,10,5,0.05,3.0,1.0,244,77,167,0.3156,0.7054,172.119,252.1492,1.3186,9.2522,-3.2353,-28.932,8.17,20.1288,-8.7849,"{'sl': 166, 'tp': 75, 'end': 3}",90
7,5,10,3,0.05,4.0,2.0,110,45,65,0.4091,1.65,181.5038,248.5377,1.4457,13.0828,-6.265,-37.4703,21.5,30.4284,-14.3329,"{'tp': 45, 'sl': 65}",64
7,5,10,3,0.0,3.0,2.0,56,31,25,0.5536,2.658,148.8465,244.5545,1.8762,10.2815,-6.7952,-22.7703,13.68,22.7963,-14.3329,"{'tp': 31, 'sl': 25}",41
5,3,5,3,0.05,3.0,1.0,163,55,108,0.3374,0.9623,156.8482,240.5131,1.4364,9.386,-3.3276,-56.3049,6.91,22.9036,-9.8894,"{'tp': 52, 'sl': 108, 'end': 3}",85
7,3,5,5,0.05,3.0,1.0,239,75,164,0.3138,0.7016,167.6809,238.4353,1.3146,9.3431,-3.2503,-28.932,8.19,20.1288,-8.7849,"{'sl': 163, 'tp': 73, 'end': 3}",90
5,3,7,3,0.05,3.0,1.0,164,55,109,0.3354,0.9359,153.4929,229.0878,1.4232,9.386,-3.3279,-56.3049,6.9,22.9036,-9.8894,"{'tp': 52, 'sl': 109, 'end': 3}",85
5,3,10,3,0.05,3.0,1.0,164,55,109,0.3354,0.9359,153.4929,229.0878,1.4232,9.386,-3.3279,-56.3049,6.9,22.9036,-9.8894,"{'tp': 52, 'sl': 109, 'end': 3}",85
7,3,7,5,0.05,4.0,2.0,232,93,139,0.4009,0.9557,221.7338,224.0969,1.2531,11.8051,-6.3032,-69.5451,19.41,30.4284,-17.4699,"{'sl': 134, 'tp': 88, 'end': 10}",90
5,3,5,3,0.0,2.0,1.0,100,48,52,0.48,1.3113,131.128,214.0905,1.6931,6.6732,-3.6382,-35.9407,5.57,17.9525,-9.8894,"{'sl': 52, 'tp': 47, 'end': 1}",65
7,5,5,3,0.0,3.0,2.0,53,29,24,0.5472,2.5968,137.6305,211.8466,1.8471,10.3487,-6.7701,-22.7703,14.09,22.7963,-14.3329,"{'tp': 29, 'sl': 24}",38
7,5,7,3,0.05,4.0,2.0,108,44,64,0.4074,1.5508,167.4849,207.5318,1.4152,12.9743,-6.3029,-34.9758,21.7,30.4284,-14.3329,"{'tp': 44, 'sl': 64}",62
10,3,10,3,0.05,3.0,2.0,69,38,31,0.5507,1.9502,134.5636,204.9966,1.6883,8.6858,-6.3063,-24.3337,14.12,21.0797,-11.7953,"{'tp': 37, 'sl': 31, 'end': 1}",50
7,5,5,3,0.05,4.0,2.0,106,43,63,0.4057,1.5652,165.9117,204.7599,1.419,13.0674,-6.2855,-34.9758,21.99,30.4284,-14.3329,"{'tp': 43, 'sl': 63}",62
7,5,7,3,0.0,3.0,2.0,55,30,25,0.5455,2.4633,135.48,203.9297,1.7975,10.1787,-6.7952,-22.7703,13.75,22.7963,-14.3329,"{'tp': 30, 'sl': 25}",40
5,3,7,3,0.0,2.0,1.0,101,48,53,0.4752,1.2651,127.7727,203.5518,1.6636,6.6732,-3.6328,-35.9407,5.57,17.9525,-9.8894,"{'sl': 53, 'tp': 47, 'end': 1}",65
5,3,10,3,0.0,2.0,1.0,101,48,53,0.4752,1.2651,127.7727,203.5518,1.6636,6.6732,-3.6328,-35.9407,5.57,17.9525,-9.8894,"{'sl': 53, 'tp': 47, 'end': 1}",65
7,3,5,5,0.05,4.0,2.0,229,91,138,0.3974,0.9331,213.6849,201.711,1.2459,11.8971,-6.2968,-67.1867,19.31,30.4284,-17.4699,"{'sl': 133, 'tp': 86, 'end': 10}",90
10,5,7,5,0.05,3.0,1.0,89,36,53,0.4045,1.4237,126.7109,201.7053,1.7531,8.1934,-3.1745,-18.5463,8.75,17.6674,-7.0681,"{'sl': 53, 'tp': 35, 'end': 1}",58
10,2,10,5,0.0,3.0,1.0,86,32,54,0.3721,1.4907,128.2005,197.9493,1.7173,9.5917,-3.3099,-30.0882,7.17,21.0797,-6.6125,"{'sl': 54, 'tp': 32}",58
10,5,10,5,0.05,3.0,1.0,93,37,56,0.3978,1.3383,124.4586,193.9888,1.703,8.1485,-3.1614,-19.7064,8.68,17.6674,-7.0681,"{'sl': 56, 'tp': 36, 'end': 1}",59
10,5,5,5,0.05,3.0,1.0,88,35,53,0.3977,1.3629,119.9371,182.5649,1.7128,8.2339,-3.1745,-18.5463,8.77,17.6674,-7.0681,"{'sl': 53, 'tp': 34, 'end': 1}",58
10,2,7,5,0.0,3.0,1.0,83,31,52,0.3735,1.465,121.5955,180.7675,1.6992,9.5326,-3.3446,-30.0882,7.23,21.0797,-6.6125,"{'sl': 52, 'tp': 31}",57
5,3,5,5,0.05,3.0,2.0,296,140,156,0.473,0.6938,205.368,169.6515,1.1963,8.9393,-6.706,-82.0435,15.16,22.4541,-17.4699,"{'sl': 151, 'tp': 134, 'end': 11}",93
5,3,7,5,0.05,3.0,2.0,296,140,156,0.473,0.6938,205.368,169.6515,1.1963,8.9393,-6.706,-82.0435,15.16,22.4541,-17.4699,"{'sl': 151, 'tp': 134, 'end': 11}",93
5,3,10,5,0.05,3.0,2.0,296,140,156,0.473,0.6938,205.368,169.6515,1.1963,8.9393,-6.706,-82.0435,15.16,22.4541,-17.4699,"{'sl': 151, 'tp': 134, 'end': 11}",93
5,3,5,3,0.0,3.0,1.0,100,35,65,0.35,1.2304,123.0448,167.7949,1.5337,10.1027,-3.5469,-36.0336,7.34,22.9036,-9.8894,"{'sl': 65, 'tp': 32, 'end': 3}",65
10,2,5,5,0.0,3.0,1.0,74,28,46,0.3784,1.5145,112.0717,161.3766,1.741,9.4043,-3.288,-28.2742,7.18,21.0797,-6.6125,"{'sl': 46, 'tp': 28}",54
5,3,7,3,0.0,3.0,1.0,101,35,66,0.3465,1.185,119.6895,158.8095,1.5117,10.1027,-3.544,-36.0336,7.33,22.9036,-9.8894,"{'sl': 66, 'tp': 32, 'end': 3}",65
5,3,10,3,0.0,3.0,1.0,101,35,66,0.3465,1.185,119.6895,158.8095,1.5117,10.1027,-3.544,-36.0336,7.33,22.9036,-9.8894,"{'sl': 66, 'tp': 32, 'end': 3}",65
7,5,10,3,0.0,3.0,1.0,56,23,33,0.4107,1.9477,109.07,157.9258,1.9254,9.8664,-3.5714,-29.6017,8.68,17.8924,-7.7321,"{'tp': 23, 'sl': 33}",41
10,3,7,5,0.05,3.0,1.0,93,33,60,0.3548,1.1527,107.1993,146.8005,1.5822,8.8282,-3.0688,-35.2824,7.57,16.3435,-6.2608,"{'sl': 60, 'tp': 33}",61
5,3,5,3,0.05,2.0,1.0,163,70,93,0.4294,0.6874,112.054,145.5811,1.3533,6.1315,-3.4102,-57.6653,5.37,17.9525,-9.8894,"{'tp': 69, 'sl': 93, 'end': 1}",85
7,3,5,3,0.05,4.0,2.0,64,30,34,0.4688,1.793,114.7535,145.376,1.6005,10.1955,-5.6209,-46.0877,17.0,30.4284,-11.3348,"{'sl': 33, 'tp': 28, 'end': 3}",46
5,3,7,3,0.05,2.0,1.0,164,70,94,0.4268,0.6628,108.6987,137.3411,1.3391,6.1315,-3.4097,-57.6653,5.38,17.9525,-9.8894,"{'tp': 69, 'sl': 94, 'end': 1}",85
5,3,10,3,0.05,2.0,1.0,164,70,94,0.4268,0.6628,108.6987,137.3411,1.3391,6.1315,-3.4097,-57.6653,5.38,17.9525,-9.8894,"{'tp': 69, 'sl': 94, 'end': 1}",85
10,3,10,5,0.05,3.0,1.0,101,34,67,0.3366,1.0329,104.3246,135.8802,1.511,9.0731,-3.0472,-37.1175,7.48,17.1545,-6.2608,"{'sl': 67, 'tp': 34}",67
7,2,5,3,0.05,4.0,2.0,101,43,58,0.4257,1.3404,135.3769,129.786,1.3295,12.7025,-7.0833,-59.8539,20.73,23.8898,-14.3329,"{'sl': 58, 'tp': 42, 'end': 1}",63
7,5,7,3,0.0,3.0,1.0,55,22,33,0.4,1.7401,95.7035,127.515,1.812,9.7073,-3.5714,-29.6017,8.65,17.8924,-7.7321,"{'tp': 22, 'sl': 33}",40
7,5,5,3,0.0,3.0,1.0,53,21,32,0.3962,1.7775,94.205,124.5914,1.8256,9.9196,-3.5659,-29.6017,8.87,17.8924,-7.7321,"{'tp': 21, 'sl': 32}",38
10,3,10,3,0.0,4.0,2.0,47,21,26,0.4468,2.1742,102.1891,119.8576,1.6275,12.6216,-6.264,-44.1149,15.62,28.1396,-11.7953,"{'tp': 21, 'sl': 26}",36
10,3,5,3,0.0,4.0,2.0,30,15,15,0.5,3.0983,92.9488,117.2222,2.0145,12.3048,-6.1082,-31.7878,19.57,28.1396,-10.4494,"{'tp': 15, 'sl': 15}",25
7,2,10,3,0.05,4.0,2.0,110,46,64,0.4182,1.2098,133.0833,116.0335,1.2956,12.6814,-7.0353,-66.0332,20.44,23.8898,-14.3329,"{'sl': 64, 'tp': 45, 'end': 1}",65
10,2,10,5,0.0,2.0,1.0,86,39,47,0.4535,1.0086,86.7397,112.7021,1.5511,6.2598,-3.3488,-29.1973,5.37,14.0198,-6.6125,"{'sl': 47, 'tp': 39}",58
7,2,5,3,0.05,3.0,2.0,101,50,51,0.495,1.1332,114.4543,112.169,1.3134,9.5938,-7.1615,-67.1768,15.66,17.8924,-14.3329,"{'sl': 51, 'tp': 50}",63
5,3,5,5,0.0,4.0,2.0,242,99,143,0.4091,0.7853,190.0453,111.9907,1.1959,11.7195,-6.7845,-84.4963,17.75,24.6156,-17.4699,"{'sl': 139, 'tp': 90, 'end': 13}",95
5,3,7,5,0.0,4.0,2.0,242,99,143,0.4091,0.7853,190.0453,111.9907,1.1959,11.7195,-6.7845,-84.4963,17.75,24.6156,-17.4699,"{'sl': 139, 'tp': 90, 'end': 13}",95
5,3,10,5,0.0,4.0,2.0,242,99,143,0.4091,0.7853,190.0453,111.9907,1.1959,11.7195,-6.7845,-84.4963,17.75,24.6156,-17.4699,"{'sl': 139, 'tp': 90, 'end': 13}",95
7,3,5,5,0.0,3.0,1.0,163,50,113,0.3067,0.6537,106.558,110.4095,1.2848,9.6135,-3.3107,-35.7814,7.57,20.055,-8.7849,"{'sl': 112, 'tp': 48, 'end': 3}",78
7,3,7,5,0.0,3.0,1.0,163,50,113,0.3067,0.6537,106.558,110.4095,1.2848,9.6135,-3.3107,-35.7814,7.57,20.055,-8.7849,"{'sl': 112, 'tp': 48, 'end': 3}",78
7,3,10,5,0.0,3.0,1.0,163,50,113,0.3067,0.6537,106.558,110.4095,1.2848,9.6135,-3.3107,-35.7814,7.57,20.055,-8.7849,"{'sl': 112, 'tp': 48, 'end': 3}",78
7,2,7,3,0.05,4.0,2.0,108,45,63,0.4167,1.1949,129.0451,108.253,1.2891,12.7882,-7.0861,-66.0332,20.69,23.8898,-14.3329,"{'sl': 63, 'tp': 44, 'end': 1}",65
10,2,7,5,0.0,2.0,1.0,83,38,45,0.4578,1.0117,83.975,107.5912,1.5504,6.2251,-3.3906,-30.3119,5.4,14.0198,-6.6125,"{'sl': 45, 'tp': 38}",57
10,3,7,3,0.0,4.0,2.0,44,20,24,0.4545,2.1423,94.2609,107.3793,1.6232,12.2759,-6.3024,-44.31,16.25,28.1396,-11.7953,"{'tp': 20, 'sl': 24}",36
10,3,5,3,0.0,3.0,2.0,30,18,12,0.6,2.7751,83.2518,106.8091,2.0869,8.8803,-6.3828,-20.2781,14.5,21.0797,-10.4494,"{'tp': 18, 'sl': 12}",25
10,2,7,5,0.05,3.0,1.0,114,37,77,0.3246,0.8108,92.4304,105.731,1.3869,8.9557,-3.103,-36.3394,6.8,21.0797,-6.6125,"{'tp': 37, 'sl': 77}",64
10,2,10,5,0.05,3.0,1.0,119,38,81,0.3193,0.7811,92.9558,105.1735,1.3721,9.0205,-3.0843,-37.5924,6.72,21.0797,-6.6125,"{'tp': 38, 'sl': 81}",65
10,3,5,5,0.05,3.0,1.0,87,30,57,0.3448,0.99,86.1293,103.9504,1.4956,8.664,-3.049,-37.724,7.41,16.3435,-6.2608,"{'sl': 57, 'tp': 30}",57
7,3,5,3,0.05,3.0,2.0,64,33,31,0.5156,1.4011,89.6724,103.0154,1.507,8.0766,-5.7051,-38.3357,14.5,22.7963,-11.3348,"{'sl': 30, 'tp': 32, 'end': 2}",46
7,3,7,5,0.05,2.0,1.0,245,96,149,0.3918,0.4078,99.9209,100.3547,1.2046,6.1275,-3.2773,-33.6756,5.76,23.0431,-8.7849,"{'sl': 148, 'tp': 95, 'end': 2}",90
10,2,5,5,0.0,4.0,2.0,72,30,42,0.4167,1.4192,102.1833,96.8163,1.3818,12.3265,-6.3717,-50.4276,18.17,28.1396,-13.125,"{'sl': 42, 'tp': 29, 'end': 1}",54
7,3,10,5,0.05,2.0,1.0,246,96,150,0.3902,0.3966,97.5531,95.6107,1.1988,6.1275,-3.2713,-35.2461,5.74,23.0431,-8.7849,"{'sl': 149, 'tp': 95, 'end': 2}",90
10,5,10,5,0.05,2.0,1.0,93,44,49,0.4731,0.8251,76.7325,94.9298,1.4846,5.3428,-3.2317,-17.3351,5.73,11.745,-7.0681,"{'sl': 49, 'tp': 43, 'end': 1}",59
10,2,5,5,0.0,2.0,1.0,74,34,40,0.4595,1.026,75.9256,94.3403,1.5703,6.1486,-3.3282,-27.3601,5.38,14.0198,-6.6125,"{'sl': 40, 'tp': 34}",54
7,2,10,3,0.05,3.0,2.0,110,54,56,0.4909,0.9811,107.9177,93.0797,1.2681,9.4525,-7.1878,-68.1711,16.05,17.8924,-14.3329,"{'sl': 56, 'tp': 54}",65
7,5,10,3,0.0,4.0,2.0,56,24,32,0.4286,1.7593,98.5232,92.7144,1.4416,13.4015,-6.9723,-50.791,18.45,30.4284,-14.3329,"{'tp': 24, 'sl': 32}",41
10,2,5,5,0.05,3.0,1.0,105,34,71,0.3238,0.7895,82.8951,91.4998,1.3833,8.799,-3.0461,-36.1416,6.72,21.0797,-6.6125,"{'tp': 34, 'sl': 71}",62
7,2,7,3,0.05,3.0,2.0,108,53,55,0.4907,0.9803,105.8732,89.6305,1.2656,9.5199,-7.2488,-68.1711,16.23,17.8924,-14.3329,"{'sl': 55, 'tp': 53}",65
10,5,7,3,0.05,3.0,2.0,48,25,23,0.5208,1.6987,81.5355,89.3149,1.5486,9.2059,-6.4614,-42.6414,15.06,17.1545,-14.3329,"{'tp': 25, 'sl': 23}",39
7,3,5,5,0.05,2.0,1.0,241,93,148,0.3859,0.3887,93.6677,88.6846,1.1933,6.2188,-3.2748,-33.6756,5.76,23.0431,-8.7849,"{'sl': 147, 'tp': 92, 'end': 2}",90
10,5,7,5,0.05,2.0,1.0,89,42,47,0.4719,0.7985,71.0652,84.8817,1.4644,5.3359,-3.2562,-20.7604,5.75,11.745,-7.0681,"{'sl': 47, 'tp': 41, 'end': 1}",58
10,3,7,5,0.0,4.0,2.0,47,20,27,0.4255,1.7948,84.3566,83.4348,1.4883,12.8558,-6.3985,-45.3795,16.36,21.8246,-12.4215,"{'sl': 27, 'tp': 19, 'end': 1}",38
7,5,10,3,0.0,2.0,1.0,56,28,28,0.5,1.2274,68.7326,82.9475,1.6525,6.2166,-3.7619,-31.1306,4.95,11.8949,-7.7321,"{'tp': 28, 'sl': 28}",41
10,3,7,5,0.0,3.0,1.0,49,18,31,0.3673,1.4295,70.0468,81.3694,1.6744,9.6615,-3.3503,-20.1577,7.31,16.3435,-6.2608,"{'sl': 31, 'tp': 18}",38
10,3,10,5,0.0,4.0,2.0,50,21,29,0.42,1.6563,82.8141,79.2619,1.4514,12.6801,-6.3265,-45.3795,15.84,21.8246,-12.4215,"{'sl': 29, 'tp': 20, 'end': 1}",41
5,2,5,5,0.0,4.0,2.0,228,91,137,0.3991,0.7593,173.1197,79.1876,1.1844,12.22,-6.8533,-77.2611,16.31,43.5001,-19.6788,"{'sl': 135, 'tp': 82, 'end': 11}",91
5,2,7,5,0.0,4.0,2.0,228,91,137,0.3991,0.7593,173.1197,79.1876,1.1844,12.22,-6.8533,-77.2611,16.31,43.5001,-19.6788,"{'sl': 135, 'tp': 82, 'end': 11}",91
5,2,10,5,0.0,4.0,2.0,228,91,137,0.3991,0.7593,173.1197,79.1876,1.1844,12.22,-6.8533,-77.2611,16.31,43.5001,-19.6788,"{'sl': 135, 'tp': 82, 'end': 11}",91
10,3,7,3,0.05,3.0,1.0,65,22,43,0.3385,1.0914,70.939,78.7811,1.5251,9.365,-3.1416,-40.1139,7.28,21.0797,-5.9477,"{'tp': 22, 'sl': 43}",49
10,5,5,5,0.05,2.0,1.0,88,41,47,0.4659,0.7566,66.5826,76.9497,1.4351,5.3567,-3.2562,-20.7604,5.8,11.745,-7.0681,"{'sl': 47, 'tp': 40, 'end': 1}",58
10,2,5,5,0.0,3.0,2.0,74,36,38,0.4865,1.1088,82.0531,76.1386,1.3344,9.0952,-6.4572,-37.6849,14.27,21.0797,-13.125,"{'sl': 38, 'tp': 35, 'end': 1}",54
10,3,10,3,0.0,3.0,2.0,47,24,23,0.5106,1.5366,72.2217,74.8087,1.4885,9.169,-6.4276,-40.2714,12.23,21.0797,-11.7953,"{'tp': 24, 'sl': 23}",36
5,2,5,5,0.05,3.0,1.0,274,80,194,0.292,0.4008,109.8307,74.5343,1.168,9.5438,-3.3694,-54.2732,6.16,32.6001,-9.8894,"{'sl': 193, 'tp': 76, 'end': 5}",93
5,2,7,5,0.05,3.0,1.0,274,80,194,0.292,0.4008,109.8307,74.5343,1.168,9.5438,-3.3694,-54.2732,6.16,32.6001,-9.8894,"{'sl': 193, 'tp': 76, 'end': 5}",93
5,2,10,5,0.05,3.0,1.0,274,80,194,0.292,0.4008,109.8307,74.5343,1.168,9.5438,-3.3694,-54.2732,6.16,32.6001,-9.8894,"{'sl': 193, 'tp': 76, 'end': 5}",93
5,3,5,5,0.05,3.0,1.0,302,90,212,0.298,0.3703,111.8228,74.3857,1.1549,9.2632,-3.405,-52.4545,7.61,20.055,-8.7849,"{'sl': 211, 'tp': 88, 'end': 3}",93
5,3,7,5,0.05,3.0,1.0,302,90,212,0.298,0.3703,111.8228,74.3857,1.1549,9.2632,-3.405,-52.4545,7.61,20.055,-8.7849,"{'sl': 211, 'tp': 88, 'end': 3}",93
5,3,10,5,0.05,3.0,1.0,302,90,212,0.298,0.3703,111.8228,74.3857,1.1549,9.2632,-3.405,-52.4545,7.61,20.055,-8.7849,"{'sl': 211, 'tp': 88, 'end': 3}",93
5,3,5,5,0.0,3.0,1.0,256,74,182,0.2891,0.409,104.7104,73.156,1.1701,9.7331,-3.3821,-49.7674,7.06,20.055,-8.7849,"{'sl': 181, 'tp': 71, 'end': 4}",95
5,3,7,5,0.0,3.0,1.0,256,74,182,0.2891,0.409,104.7104,73.156,1.1701,9.7331,-3.3821,-49.7674,7.06,20.055,-8.7849,"{'sl': 181, 'tp': 71, 'end': 4}",95
5,3,10,5,0.0,3.0,1.0,256,74,182,0.2891,0.409,104.7104,73.156,1.1701,9.7331,-3.3821,-49.7674,7.06,20.055,-8.7849,"{'sl': 181, 'tp': 71, 'end': 4}",95
10,3,7,3,0.0,3.0,2.0,44,23,21,0.5227,1.5728,69.2023,71.9484,1.508,8.9318,-6.4871,-40.2714,12.64,21.0797,-11.7953,"{'tp': 23, 'sl': 21}",36
10,2,5,3,0.05,4.0,2.0,74,34,40,0.4595,1.1944,88.3862,71.5626,1.3014,11.2254,-7.3319,-49.77,19.16,21.8246,-14.3329,"{'sl': 40, 'tp': 32, 'end': 2}",54
10,3,5,3,0.0,3.0,1.0,30,13,17,0.4333,1.9814,59.4418,69.6725,2.0852,8.7858,-3.222,-10.9422,9.63,21.0797,-5.2747,"{'tp': 13, 'sl': 17}",25
5,2,5,5,0.0,3.0,1.0,236,69,167,0.2924,0.4326,102.104,69.3802,1.1762,9.8769,-3.4695,-49.1868,6.31,32.6001,-9.8894,"{'sl': 166, 'tp': 65, 'end': 5}",91
5,2,7,5,0.0,3.0,1.0,236,69,167,0.2924,0.4326,102.104,69.3802,1.1762,9.8769,-3.4695,-49.1868,6.31,32.6001,-9.8894,"{'sl': 166, 'tp': 65, 'end': 5}",91
5,2,10,5,0.0,3.0,1.0,236,69,167,0.2924,0.4326,102.104,69.3802,1.1762,9.8769,-3.4695,-49.1868,6.31,32.6001,-9.8894,"{'sl': 166, 'tp': 65, 'end': 5}",91
10,2,10,3,0.05,4.0,2.0,97,42,55,0.433,1.0118,98.1483,68.7358,1.249,11.723,-7.1676,-55.3515,17.53,21.8246,-14.3329,"{'sl': 55, 'tp': 40, 'end': 2}",63
7,5,5,3,0.0,2.0,1.0,53,26,27,0.4906,1.1347,60.1389,68.7287,1.592,6.2201,-3.7624,-31.1306,5.08,11.8949,-7.7321,"{'tp': 26, 'sl': 27}",38
7,5,7,3,0.0,2.0,1.0,55,27,28,0.4909,1.0883,59.8549,68.0303,1.5682,6.1181,-3.7619,-31.1306,4.96,11.8949,-7.7321,"{'tp': 27, 'sl': 28}",40
10,3,10,5,0.0,3.0,1.0,52,18,34,0.3462,1.1957,62.1757,67.4385,1.5565,9.6615,-3.2862,-21.3707,7.0,16.3435,-6.2608,"{'sl': 34, 'tp': 18}",41
