L,S,W,k,eps,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit
7,3,10,3,0.0,3.0,1.0,30,7,23,0.2333,-0.811,-24.3311,-24.7006,0.7035,8.2463,-3.5676,-44.2107,7.97,10.4787,-5.9477,"{'sl': 23, 'tp': 7}",27
5,2,5,3,0.0,2.0,1.0,65,20,45,0.3077,-0.3303,-21.468,-24.9919,0.8594,6.5611,-3.3931,-37.1613,5.91,10.3226,-7.2165,"{'sl': 45, 'tp': 19, 'end': 1}",48
7,2,7,3,0.05,3.0,1.0,112,30,82,0.2679,-0.0833,-9.3338,-25.3556,0.9682,9.4763,-3.5808,-61.8834,8.19,17.8924,-7.2165,"{'sl': 82, 'tp': 30}",65
10,2,7,5,0.05,3.0,2.0,114,47,67,0.4123,0.0293,3.3441,-26.6527,1.0082,8.7356,-6.0781,-72.14,13.84,21.0797,-13.125,"{'tp': 46, 'sl': 67, 'end': 1}",64
7,3,7,3,0.0,4.0,2.0,29,9,20,0.3103,-0.6352,-18.4217,-26.6825,0.8603,12.6028,-6.5924,-52.275,13.14,20.2239,-11.7953,"{'sl': 19, 'tp': 9, 'end': 1}",26
7,2,7,5,0.05,4.0,2.0,194,73,121,0.3763,0.2613,50.698,-26.9705,1.0654,11.3056,-6.4018,-62.3568,17.28,28.1396,-19.6788,"{'sl': 120, 'tp': 69, 'end': 5}",87
7,2,5,5,0.0,3.0,2.0,145,63,82,0.4345,0.1421,20.6026,-27.1456,1.0373,9.0907,-6.7331,-63.6429,13.48,22.4541,-19.6788,"{'sl': 81, 'tp': 61, 'end': 3}",81
7,2,10,5,0.0,2.0,1.0,151,55,96,0.3642,-0.0911,-13.7495,-27.2243,0.9595,5.9291,-3.5401,-47.9024,5.27,15.5522,-9.8894,"{'sl': 96, 'tp': 55}",82
5,2,7,3,0.0,2.0,1.0,66,20,46,0.303,-0.3731,-24.6275,-27.3618,0.842,6.5611,-3.388,-39.1467,5.83,10.3226,-7.2165,"{'sl': 46, 'tp': 19, 'end': 1}",48
5,2,10,3,0.0,2.0,1.0,66,20,46,0.303,-0.3731,-24.6275,-27.3618,0.842,6.5611,-3.388,-39.1467,5.83,10.3226,-7.2165,"{'sl': 46, 'tp': 19, 'end': 1}",48
7,2,5,3,0.05,2.0,1.0,104,34,70,0.3269,-0.1958,-20.3589,-28.1654,0.917,6.6134,-3.503,-61.1798,6.47,11.8949,-7.2165,"{'sl': 70, 'tp': 34}",63
7,2,10,3,0.05,3.0,1.0,114,30,84,0.2632,-0.1175,-13.3956,-28.3568,0.955,9.4763,-3.5438,-61.8834,8.11,17.8924,-7.2165,"{'sl': 84, 'tp': 30}",65
