indicator,tp_pct,sl_pct,period,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
cmf,3.0,3.0,10,7658,3734,0.4875946722381823,-0.17366185688169236,-1329.9025000000001,-99.9999947369028,0.8905331313749262,-99.99999534424141,3.129798903107861,101,"{'sl': 3917, 'tp': 3728, 'end': 13}",Chaikin Money Flow
cmf,3.0,3.0,20,4938,2466,0.4993924665856622,-0.10436342648845688,-515.3466000000001,-99.93777906089933,0.9327327628835583,-99.97960991551594,3.1285945727014988,101,"{'tp': 2463, 'sl': 2471, 'end': 4}",Chaikin Money Flow
cmf,3.0,3.0,30,3716,1869,0.5029601722282023,-0.08157995156081813,-303.15110000000016,-99.09629881745519,0.9469879915427305,-99.39856571199796,3.0656620021528527,98,"{'tp': 1867, 'sl': 1843, 'end': 6}",Chaikin Money Flow
cmf,3.0,3.0,40,3025,1529,0.5054545454545455,-0.0644762975206612,-195.0408000000001,-96.35746838969035,0.9578357561136223,-98.91491375663344,3.063801652892562,98,"{'sl': 1491, 'tp': 1527, 'end': 7}",Chaikin Money Flow
cmf,3.0,3.0,60,2260,1143,0.5057522123893805,-0.0633624336283186,-143.19910000000004,-91.3724647827391,0.958578828354879,-96.4868895183513,3.0238938053097346,98,"{'tp': 1142, 'sl': 1114, 'end': 4}",Chaikin Money Flow
