indicator,tp_pct,sl_pct,fast,slow,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
ao,3.0,3.0,10,40,2248,1177,0.5235765124555161,0.0427935943060498,96.19999999999995,-4.741655869615736,1.0290012360194143,-71.7742753361297,3.735320284697509,98,"{'tp': 1177, 'sl': 1070, 'end': 1}",Awesome Oscillator
ao,3.0,3.0,5,20,4267,2209,0.5176939301617061,0.008181321771736534,34.90969999999979,-79.20314065161864,1.0054793058056979,-92.50035534822284,3.593625498007968,98,"{'tp': 2209, 'sl': 2054, 'end': 4}",Awesome Oscillator
ao,3.0,3.0,5,40,2796,1456,0.5207439198855508,0.02551427038626604,71.33789999999985,-41.91041514331629,1.0171974028023425,-73.90682294689204,3.667024320457797,98,"{'tp': 1455, 'sl': 1337, 'end': 4}",Awesome Oscillator
ao,3.0,3.0,5,34,3080,1617,0.525,0.05231957792207787,161.14429999999984,25.674456465589166,1.0356003663509998,-78.18324589345733,3.6344155844155845,98,"{'tp': 1616, 'sl': 1459, 'end': 5}",Awesome Oscillator
ao,3.0,3.0,10,34,2496,1292,0.5176282051282052,0.007501201923076884,18.722999999999903,-60.750058448946355,1.005024420352082,-86.46971641221423,3.641426282051282,98,"{'tp': 1291, 'sl': 1202, 'end': 3}",Awesome Oscillator
ao,3.0,3.0,10,20,3876,1958,0.5051599587203303,-0.06749226006191955,-261.6000000000002,-98.72710790162347,0.9559581130677796,-99.6780180350335,3.6403508771929824,99,"{'sl': 1916, 'tp': 1958, 'end': 2}",Awesome Oscillator
ao,3.0,3.0,15,34,2326,1228,0.5279449699054171,0.07345967325881338,170.8671999999999,94.57219896853731,1.0503983561731751,-65.68281639383935,3.794067067927773,98,"{'tp': 1228, 'sl': 1093, 'end': 5}",Awesome Oscillator
ao,3.0,3.0,15,20,4373,2215,0.5065172650354448,-0.059862085524811384,-261.7769000000002,-98.98197806527064,0.9608013034402269,-99.54094512247394,3.538531900297279,100,"{'sl': 2154, 'tp': 2212, 'end': 7}",Awesome Oscillator
ao,3.0,3.0,15,40,2026,1044,0.5153010858835143,-0.006712734452122441,-13.600000000000065,-64.93756875281738,0.9955280810206492,-81.2437318284551,3.752714708785785,98,"{'tp': 1044, 'sl': 981, 'end': 1}",Awesome Oscillator
