indicator,tp_pct,sl_pct,period,threshold,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
cci,3.0,3.0,10,200,1833,926,0.5051827605019095,-0.06890343698854343,-126.3000000000001,-87.63190492507951,0.9550805562471096,-89.83652427721641,3.2902345881069284,99,"{'tp': 926, 'sl': 907}",CCI
cci,3.0,3.0,10,80,9875,5052,0.5115949367088608,-0.029117134177215214,-287.5317000000002,-99.93367770186322,0.9807340666503809,-99.97874359792128,3.260759493670886,101,"{'sl': 4811, 'tp': 5045, 'end': 19}",CCI
cci,3.0,3.0,10,100,9564,4857,0.5078419071518193,-0.05235135926390633,-500.6884000000001,-99.99097843786897,0.9656339522728477,-99.99575490410531,3.18025930572982,101,"{'sl': 4698, 'tp': 4849, 'end': 17}",CCI
cci,3.0,3.0,10,150,5603,2886,0.5150812064965197,-0.010306514367303293,-57.747400000000354,-95.49721831089592,0.9931438374867908,-98.81657351055291,3.2300553275031234,100,"{'tp': 2884, 'sl': 2717, 'end': 2}",CCI
cci,3.0,3.0,14,80,8135,4200,0.5162876459741856,-0.0019333866011063776,-15.728100000000381,-97.79962510967567,0.9987093229650911,-99.80481803251952,3.3599262446220037,99,"{'tp': 4195, 'sl': 3929, 'end': 11}",CCI
cci,3.0,3.0,14,100,7755,3978,0.5129593810444875,-0.021157395228884636,-164.07560000000035,-99.40880970475911,0.9859676504789403,-99.83359850095633,3.3316569954867825,100,"{'sl': 3770, 'tp': 3974, 'end': 11}",CCI
cci,3.0,3.0,14,200,1919,1006,0.5242313705054716,0.04538822303282958,87.09999999999997,0.8034644500153121,1.0307741228844993,-77.51984929246916,3.2193850964043773,98,"{'tp': 1006, 'sl': 913}",CCI
cci,3.0,3.0,14,150,4922,2531,0.5142218610321008,-0.015687586347013432,-77.21430000000011,-94.96168611384063,0.9895812477761361,-99.11879568562668,3.1818366517675742,99,"{'sl': 2390, 'tp': 2528, 'end': 4}",CCI
cci,3.0,3.0,20,150,4034,2140,0.5304908279623203,0.08279893406048582,334.01089999999976,361.1445462272134,1.0568975752714165,-91.2244751189619,3.4008428358948932,98,"{'tp': 2139, 'sl': 1893, 'end': 2}",CCI
cci,3.0,3.0,20,80,6739,3467,0.5144680219617154,-0.012354562991541819,-83.25740000000032,-97.90490322771122,0.9917836418292555,-98.99197626735872,3.4059949547410593,100,"{'tp': 3465, 'sl': 3267, 'end': 7}",CCI
cci,3.0,3.0,20,200,1738,964,0.5546605293440736,0.22796317606444186,396.19999999999993,2315.5982609544685,1.1651246144869545,-53.118853847071776,3.28078250863061,98,"{'tp': 964, 'sl': 774}",CCI
cci,3.0,3.0,20,100,6284,3267,0.5198917886696371,0.019733688733290865,124.00649999999979,-79.52907965552089,1.013267928442579,-94.28310597494274,3.4556015276893697,99,"{'sl': 3014, 'tp': 3265, 'end': 5}",CCI
cci,3.0,3.0,30,80,5278,2727,0.5166729821902236,5.236832133380807e-05,0.276399999999839,-90.6735373776932,1.0000349714359658,-93.46661615492079,3.497726411519515,98,"{'sl': 2549, 'tp': 2725, 'end': 4}",CCI
cci,3.0,3.0,30,150,3096,1616,0.5219638242894057,0.03210949612403099,99.41099999999994,-32.86587074849092,1.0216723868315354,-79.16146294157761,3.4376614987080103,98,"{'tp': 1616, 'sl': 1479, 'end': 1}",CCI
cci,3.0,3.0,30,200,1431,807,0.5639412997903563,0.2836477987421383,405.8999999999999,2956.6401467860583,1.2098325062034732,-44.61974040012624,3.5052410901467503,98,"{'tp': 807, 'sl': 624}",CCI
cci,3.0,3.0,30,100,4936,2594,0.5255267423014587,0.05338324554294972,263.49969999999985,51.88337459691708,1.0363267941720666,-82.88156519271608,3.559359805510535,98,"{'sl': 2339, 'tp': 2591, 'end': 6}",CCI
