indicator,tp_pct,sl_pct,ma_window,k,accel_window,min_angle_delta,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
angle_accel,3.0,5.0,5,5,5,3.0,234,128,0.5470085470085471,-0.7239316239316237,-169.39999999999995,-84.8857539877194,0.6866444691083977,-85.24627524129161,1.5555555555555556,57,"{'sl': 106, 'tp': 128}",MA 각도 가속
angle_accel,3.0,5.0,5,5,5,10.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,-5.100000000000005,4.0,2,"{'tp': 1, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,5,5,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,5,5,3,1.0,2237,1366,0.6106392489941886,-0.21265087170317382,-475.6999999999998,-99.84844431721959,0.8927903360302897,-99.86323636501872,2.314260169870362,101,"{'sl': 870, 'tp': 1366, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,5,5,2.0,810,459,0.5666666666666667,-0.5604938271604938,-453.99999999999994,-99.44868875127273,0.7456725113439019,-99.74560056212862,1.8296296296296297,93,"{'tp': 459, 'sl': 350, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,3,10,1.0,6305,3916,0.6210943695479778,-0.13045202220459945,-822.4999999999995,-99.99978625875522,0.9324651651626992,-99.99992694246835,3.0897700237906425,102,"{'sl': 2388, 'tp': 3916, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,5,10,5.0,45,21,0.4666666666666667,-1.3666666666666665,-61.49999999999999,-48.10661886376977,0.4975490196078431,-50.99039314096239,1.8222222222222222,21,"{'tp': 21, 'sl': 24}",MA 각도 가속
angle_accel,3.0,5.0,5,5,10,10.0,3,1,0.3333333333333333,-2.433333333333333,-7.299999999999999,-7.328157100000022,0.28431372549019607,-9.939900000000012,3.0,2,"{'tp': 1, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,5,5,10,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,5,5,10,3.0,294,161,0.5476190476190477,-0.7190476190476189,-211.39999999999998,-90.55326811287048,0.6883384932920533,-95.61640281826162,1.41156462585034,54,"{'sl': 133, 'tp': 161}",MA 각도 가속
angle_accel,3.0,5.0,5,10,3,2.0,33,16,0.48484848484848486,-1.2212121212121212,-40.3,-35.11092138875711,0.5351787773933103,-32.28085423262602,1.5757575757575757,16,"{'sl': 17, 'tp': 16}",MA 각도 가속
angle_accel,3.0,5.0,5,10,3,3.0,6,4,0.6666666666666666,0.2333333333333333,1.4,0.9703644655131516,1.1372549019607843,-9.939900000000012,3.5,2,"{'tp': 4, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,5,5,10,2.0,1031,600,0.5819592628516004,-0.43947623666343355,-453.09999999999997,-99.52873879496876,0.7933974738953988,-99.7029802509862,1.8428709990300678,92,"{'tp': 600, 'sl': 430, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,10,3,5.0,2,0,0.0,-5.1,-10.2,-9.939900000000012,0.0,-5.100000000000005,3.5,2,{'sl': 2},MA 각도 가속
angle_accel,3.0,5.0,5,10,3,1.0,349,177,0.5071633237822349,-1.0426934097421203,-363.9,-98.06219590002198,0.5851573187414497,-98.85411770299227,1.4297994269340975,65,"{'tp': 177, 'sl': 172}",MA 각도 가속
angle_accel,3.0,5.0,5,10,3,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,5,10,3,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,5,10,5,3.0,27,12,0.4444444444444444,-1.5444444444444443,-41.699999999999996,-35.73453066676212,0.4549019607843138,-41.01636148913034,1.5925925925925926,14,"{'tp': 12, 'sl': 15}",MA 각도 가속
angle_accel,3.0,5.0,5,10,5,5.0,5,3,0.6,-0.3,-1.5,-1.8752531919211335,0.8529411764705882,-9.939900000000012,2.0,2,"{'tp': 3, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,5,10,5,2.0,138,59,0.427536231884058,-1.679710144927536,-231.79999999999995,-91.35951953325826,0.42467113427649517,-92.10785953063076,1.5289855072463767,40,"{'sl': 79, 'tp': 59}",MA 각도 가속
angle_accel,3.0,5.0,5,10,5,10.0,2,0,0.0,-5.1,-10.2,-9.939900000000012,0.0,-5.100000000000005,3.0,2,{'sl': 2},MA 각도 가속
angle_accel,3.0,5.0,5,10,5,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,3.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,5,10,5,1.0,1089,634,0.5821854912764004,-0.43792470156106506,-476.89999999999986,-99.64537158613737,0.7940401641114226,-99.76916040014986,1.8071625344352618,96,"{'tp': 634, 'sl': 454, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,5,5,1.0,4560,2844,0.6236842105263158,-0.10799984649122799,-492.4792999999996,-99.97762394769758,0.9436527652558023,-99.99067958241605,2.8157894736842106,102,"{'sl': 1713, 'tp': 2844, 'end': 3}",MA 각도 가속
angle_accel,3.0,5.0,5,10,10,5.0,11,6,0.5454545454545454,-0.7363636363636362,-8.099999999999998,-8.625858265940444,0.6823529411764705,-9.939900000000002,1.7272727272727273,3,"{'sl': 5, 'tp': 6}",MA 각도 가속
angle_accel,3.0,5.0,5,10,10,2.0,402,221,0.5497512437810945,-0.7019900497512436,-282.19999999999993,-95.74418959695265,0.6942909760589313,-98.05356262396664,1.5572139303482586,61,"{'sl': 181, 'tp': 221}",MA 각도 가속
angle_accel,3.0,5.0,5,10,10,3.0,110,52,0.4727272727272727,-1.318181818181818,-144.99999999999997,-78.76560907616776,0.5098039215686274,-80.04222615874622,1.4727272727272727,30,"{'sl': 58, 'tp': 52}",MA 각도 가속
angle_accel,3.0,5.0,5,10,10,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,3.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,5,10,10,10.0,4,2,0.5,-1.0999999999999996,-4.399999999999999,-4.640673655900029,0.5686274509803921,-9.939900000000012,2.25,2,"{'tp': 2, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,10,3,3,3.0,14,6,0.42857142857142855,-1.671428571428572,-23.400000000000006,-21.90523039457586,0.4264705882352941,-28.323659536185485,2.642857142857143,11,"{'tp': 6, 'sl': 8}",MA 각도 가속
angle_accel,3.0,5.0,10,3,3,5.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,0.0,9.0,1,"{'sl': 1, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,3,3,10.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,0.0,8.5,1,"{'sl': 1, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,3,3,2.0,77,38,0.4935064935064935,-1.1519480519480514,-88.69999999999996,-61.52607220175592,0.5540472599296131,-66.6632502540245,1.6103896103896105,32,"{'sl': 39, 'tp': 38}",MA 각도 가속
