indicator,tp_pct,sl_pct,window,div_window,min_gap,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_obv,3.0,3.0,10,20,3,1405,715,0.5088967971530249,-0.04752718861209969,-66.77570000000006,-72.76377908344452,0.9687670516546152,-87.43015853555572,3.3444839857651245,98,"{'tp': 714, 'sl': 689, 'end': 2}",OBV 다이버전스
div_obv,3.0,3.0,10,20,2,2117,1084,0.512045347189419,-0.02721525743977329,-57.614700000000056,-78.32642599692223,0.9819893726898506,-94.22511469645617,3.2196504487482285,98,"{'tp': 1083, 'sl': 1031, 'end': 3}",OBV 다이버전스
div_obv,3.0,3.0,10,14,3,1398,712,0.5092989985693849,-0.04511852646638059,-63.07570000000007,-71.64656926040979,0.970325542708397,-87.39361261853689,3.3390557939914163,98,"{'tp': 711, 'sl': 685, 'end': 2}",OBV 다이버전스
div_obv,3.0,3.0,10,14,2,2110,1081,0.5123222748815166,-0.025551990521327058,-53.914700000000096,-77.4373918739175,0.9830804248385697,-94.0403660438144,3.2156398104265405,98,"{'tp': 1080, 'sl': 1027, 'end': 3}",OBV 다이버전스
div_obv,3.0,3.0,10,10,3,1371,700,0.5105762217359592,-0.037473158278628745,-51.37570000000001,-67.7325635987037,0.9752893214287597,-85.02813149613306,3.322392414296134,98,"{'tp': 699, 'sl': 670, 'end': 2}",OBV 다이버전스
div_obv,3.0,3.0,10,10,2,2083,1069,0.5132021123379741,-0.020266298607777282,-42.21470000000008,-74.32277139784827,0.9865559479087443,-92.96306976704342,3.2030724915986557,98,"{'tp': 1068, 'sl': 1012, 'end': 3}",OBV 다이버전스
div_obv,3.0,3.0,10,30,2,2119,1085,0.512033978291647,-0.027283954695611186,-57.8147000000001,-78.38925768795713,0.9819443490188088,-94.0576430226534,3.217555450684285,98,"{'tp': 1084, 'sl': 1032, 'end': 3}",OBV 다이버전스
div_obv,3.0,3.0,10,30,3,1407,716,0.5088841506751954,-0.04760177683013505,-66.97570000000002,-72.84273688788168,0.9687188622238491,-87.46659850596119,3.3411513859275055,98,"{'tp': 715, 'sl': 690, 'end': 2}",OBV 다이버전스
div_obv,3.0,3.0,20,10,3,937,471,0.5026680896478122,-0.08399146211312704,-78.70000000000003,-70.17904009892524,0.9455212515575238,-79.3253087749429,3.176093916755603,98,"{'tp': 471, 'sl': 466}",OBV 다이버전스
div_obv,3.0,3.0,20,14,2,1418,710,0.5007052186177715,-0.095768688293371,-135.80000000000007,-86.44341712812758,0.9381264807727349,-93.37654885406732,3.2045133991537376,98,"{'tp': 710, 'sl': 708}",OBV 다이버전스
