indicator,tp_pct,sl_pct,bb_period,bb_dev,kc_period,kc_mult,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
ttm_squeeze,3.0,3.0,20,2.0,20,1.5,1383,680,0.49168474331164136,-0.15145813449023868,-209.46660000000008,-93.41012602576888,0.9038835405864262,-95.91758871460011,3.336948662328272,98,"{'tp': 678, 'sl': 703, 'end': 2}",TTM Squeeze
ttm_squeeze,3.0,3.0,20,2.0,20,2.0,2386,1196,0.501257334450964,-0.09154731768650463,-218.43190000000004,-96.16223586616803,0.9407076764853513,-98.36488573284221,3.2523051131601006,99,"{'tp': 1195, 'sl': 1188, 'end': 3}",TTM Squeeze
ttm_squeeze,3.0,3.0,20,2.0,20,3.0,2003,983,0.49076385421867197,-0.153919121318023,-308.30000000000007,-98.14728893859996,0.9024058246280462,-98.68355560853801,3.0654018971542687,99,"{'sl': 1019, 'tp': 983, 'end': 1}",TTM Squeeze
