indicator,tp_pct,sl_pct,n,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
aroon,3.0,3.0,14,4934,2484,0.5034454803404945,-0.07778506282934741,-383.7915000000001,-99.76673611953473,0.9493761781626547,-99.91507665127895,3.3161734900689095,100,"{'tp': 2480, 'sl': 2443, 'end': 11}",아룬 오실레이터
aroon,3.0,3.0,18,3954,2013,0.5091047040971168,-0.04461305007587259,-176.4000000000002,-97.11701512810322,0.9706689280191543,-98.2991144965532,3.4026302478502783,98,"{'tp': 2013, 'sl': 1940, 'end': 1}",아룬 오실레이터
aroon,3.0,3.0,25,2920,1520,0.5205479452054794,0.024044452054794472,70.20979999999986,-45.70095059513899,1.0161940419410498,-84.15830952255901,3.469178082191781,98,"{'sl': 1398, 'tp': 1519, 'end': 3}",아룬 오실레이터
aroon,3.0,3.0,30,2496,1223,0.48998397435897434,-0.1605669871794872,-400.77520000000004,-99.41168473826407,0.8983655314077038,-99.52490061888236,3.5400641025641026,98,"{'tp': 1221, 'sl': 1272, 'end': 3}",아룬 오실레이터
