indicator,tp_pct,sl_pct,span,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
dema_turn,3.0,3.0,20,9815,4988,0.5082017320427916,-0.050068711156393296,-491.4244000000002,-99.99116640555452,0.9671142515567923,-99.99759801043521,3.2465613856342332,103,"{'sl': 4818, 'tp': 4982, 'end': 15}",DEMA 변곡
dema_turn,3.0,3.0,50,6625,3278,0.4947924528301887,-0.1304737811320755,-864.3888000000002,-99.99911449269405,0.9165886822498854,-99.9994200627323,3.277132075471698,102,"{'tp': 3275, 'sl': 3340, 'end': 10}",DEMA 변곡
dema_turn,3.0,3.0,5,17307,8791,0.5079447622349338,-0.052136181891720146,-902.3209000000006,-99.99999504145089,0.9657863550195696,-99.99999953602482,3.062402496099844,103,"{'sl': 8505, 'tp': 8781, 'end': 21}",DEMA 변곡
dema_turn,3.0,3.0,10,13292,6702,0.5042130604875112,-0.073962323201926,-983.1072000000004,-99.99998654568073,0.9518134600209993,-99.99999573065399,3.1792055371652124,103,"{'tp': 6694, 'sl': 6578, 'end': 20}",DEMA 변곡
dema_turn,3.0,3.0,30,8054,4086,0.5073255525204867,-0.05569927986093872,-448.60200000000043,-99.97002114046005,0.963476858003167,-99.98381946191677,3.282220014899429,102,"{'sl': 3959, 'tp': 4079, 'end': 16}",DEMA 변곡
