delta,ma,n,wr,pf,avg,hold,per_month
0.003,3,664,0.625,1.179,0.274,2.6,9.5
0.003,4,599,0.641,1.263,0.387,2.6,8.9
0.003,5,592,0.637,1.238,0.354,2.5,8.6
0.003,6,562,0.633,1.226,0.338,2.6,8.1
0.003,7,525,0.608,1.095,0.153,2.7,7.8
0.003,8,508,0.616,1.139,0.218,2.7,7.4
0.003,9,488,0.617,1.135,0.212,2.6,7.3
0.003,10,464,0.616,1.136,0.213,2.7,6.7
0.003,11,459,0.588,1.01,0.016,2.6,6.7
0.003,12,454,0.632,1.22,0.33,2.5,6.7
0.003,13,454,0.632,1.216,0.325,2.5,6.6
0.003,14,422,0.649,1.314,0.45,2.6,6.3
0.003,15,455,0.653,1.33,0.469,2.5,6.7
0.003,16,409,0.677,1.484,0.641,2.5,6.1
0.003,17,404,0.649,1.305,0.44,2.3,6.2
0.003,18,402,0.644,1.286,0.416,2.3,6.2
0.003,19,362,0.605,1.087,0.141,2.2,5.6
0.003,20,366,0.623,1.181,0.276,2.2,5.8
0.003,21,364,0.615,1.138,0.217,2.3,5.7
0.003,22,341,0.622,1.17,0.262,2.2,5.5
0.003,23,318,0.642,1.275,0.401,2.3,5.0
0.003,24,311,0.611,1.113,0.178,2.4,4.9
0.003,25,315,0.616,1.15,0.234,2.3,5.1
0.003,26,309,0.586,1.014,0.023,2.3,5.2
0.003,27,292,0.634,1.243,0.359,2.3,4.8
0.003,28,300,0.597,1.062,0.1,2.5,5.0
0.003,29,269,0.599,1.07,0.113,2.4,4.7
0.003,30,268,0.612,1.132,0.207,2.3,4.5
0.003,31,236,0.623,1.179,0.275,2.1,4.2
0.003,32,224,0.571,0.951,-0.085,2.3,3.9
0.003,33,218,0.601,1.065,0.106,2.2,3.8
0.003,34,210,0.619,1.149,0.233,2.4,4.0
0.003,35,196,0.628,1.203,0.308,2.2,3.4
0.003,36,198,0.646,1.309,0.443,2.2,3.5
0.003,37,195,0.605,1.097,0.155,2.1,3.6
0.003,38,195,0.636,1.253,0.372,2.2,3.6
0.003,39,205,0.6,1.061,0.1,2.4,3.5
0.003,40,202,0.644,1.277,0.405,2.3,3.7
