indicator,tp_pct,sl_pct,window,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
obv,3.0,3.0,20,6942,3533,0.5089311437626044,-0.046343964275425,-321.7198000000003,-99.82430756808319,0.9695316400647624,-99.87550402124235,3.273264188994526,100,"{'sl': 3405, 'tp': 3529, 'end': 8}",OBV
obv,3.0,3.0,30,5504,2730,0.4960029069767442,-0.1215135174418605,-668.8104000000002,-99.98961299443484,0.9220887504137365,-99.9925333020838,3.2434593023255816,98,"{'tp': 2729, 'sl': 2768, 'end': 7}",OBV
obv,3.0,3.0,10,10535,5365,0.5092548647365923,-0.04352540104413861,-458.5401000000002,-99.99112549340734,0.9713539736860182,-99.99589240121568,3.249169435215947,100,"{'tp': 5360, 'sl': 5160, 'end': 15}",OBV
obv,3.0,3.0,50,3929,1972,0.5019088826673453,-0.08730526851616192,-343.0224000000002,-99.4494142067157,0.9433857313962061,-99.76653255650886,3.3448714685670655,98,"{'tp': 1971, 'sl': 1953, 'end': 5}",OBV
obv,3.0,3.0,100,2392,1182,0.49414715719063546,-0.13341889632107024,-319.13800000000003,-98.60446371585103,0.9148269867288967,-99.24338897668794,3.365802675585284,98,"{'tp': 1182, 'sl': 1208, 'end': 2}",OBV
