indicator,tp_pct,sl_pct,k_period,d_period,div_window,min_gap,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_stoch3,3.0,3.0,9,3,45,3,212,108,0.5094339622641509,-0.043396226415094434,-9.20000000000002,-17.104054842347672,0.9714640198511157,-44.09729222641655,3.080188679245283,87,"{'tp': 108, 'sl': 104}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,20,3,177,87,0.4915254237288136,-0.15084745762711868,-26.700000000000006,-29.32309243470249,0.9043010752688168,-48.74947714771033,3.4237288135593222,84,"{'tp': 87, 'sl': 90}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,3,60,3,212,108,0.5094339622641509,-0.043396226415094434,-9.20000000000002,-17.104054842347672,0.9714640198511157,-44.09729222641655,3.080188679245283,87,"{'tp': 108, 'sl': 104}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,20,5,34,20,0.5882352941176471,0.42941176470588227,14.599999999999998,13.983076286520202,1.3364055299539168,-9.54144733165333,3.3529411764705883,30,"{'tp': 20, 'sl': 14}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,30,3,179,88,0.49162011173184356,-0.1502793296089386,-26.900000000000013,-29.52798478973433,0.9046437433534201,-48.749477147710365,3.430167597765363,84,"{'tp': 88, 'sl': 91}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,30,5,36,21,0.5833333333333334,0.39999999999999997,14.399999999999999,13.65263934836558,1.3096774193548384,-9.54144733165332,3.388888888888889,30,"{'tp': 21, 'sl': 15}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,60,5,36,21,0.5833333333333334,0.39999999999999997,14.399999999999999,13.65263934836558,1.3096774193548384,-9.54144733165332,3.388888888888889,30,"{'tp': 21, 'sl': 15}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,45,5,36,21,0.5833333333333334,0.39999999999999997,14.399999999999999,13.65263934836558,1.3096774193548384,-9.54144733165332,3.388888888888889,30,"{'tp': 21, 'sl': 15}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,45,3,179,88,0.49162011173184356,-0.1502793296089386,-26.900000000000013,-29.52798478973433,0.9046437433534201,-48.749477147710365,3.430167597765363,84,"{'tp': 88, 'sl': 91}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,9,5,60,3,179,88,0.49162011173184356,-0.1502793296089386,-26.900000000000013,-29.52798478973433,0.9046437433534201,-48.749477147710365,3.430167597765363,84,"{'tp': 88, 'sl': 91}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,30,5,40,19,0.475,-0.25000000000000006,-10.000000000000002,-11.143042536714642,0.846390168970814,-13.357690710580695,2.675,30,"{'sl': 21, 'tp': 19}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,20,5,36,19,0.5277777777777778,0.06666666666666661,2.399999999999998,0.7850998357455508,1.0455407969639468,-12.345662464372086,2.6666666666666665,30,"{'sl': 17, 'tp': 19}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,20,3,177,96,0.5423728813559322,0.1542372881355931,27.29999999999998,21.367363660124195,1.1087216248506566,-28.48258092907603,2.751412429378531,83,"{'tp': 96, 'sl': 81}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,30,3,182,97,0.532967032967033,0.09780219780219783,17.800000000000004,10.10635891316669,1.067552182163187,-30.69962092027466,2.741758241758242,83,"{'tp': 97, 'sl': 85}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,45,5,40,19,0.475,-0.25000000000000006,-10.000000000000002,-11.143042536714642,0.846390168970814,-13.357690710580695,2.675,30,"{'sl': 21, 'tp': 19}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,45,3,182,97,0.532967032967033,0.09780219780219783,17.800000000000004,10.10635891316669,1.067552182163187,-30.69962092027466,2.741758241758242,83,"{'tp': 97, 'sl': 85}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,60,5,40,19,0.475,-0.25000000000000006,-10.000000000000002,-11.143042536714642,0.846390168970814,-13.357690710580695,2.675,30,"{'sl': 21, 'tp': 19}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,20,5,32,18,0.5625,0.2749999999999999,8.799999999999997,7.648906952526557,1.2027649769585251,-9.541447331653307,2.9375,27,"{'sl': 14, 'tp': 18}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,3,60,3,182,97,0.532967032967033,0.09780219780219783,17.800000000000004,10.10635891316669,1.067552182163187,-30.69962092027466,2.741758241758242,83,"{'tp': 97, 'sl': 85}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,20,3,152,79,0.5197368421052632,0.018421052631578963,2.8000000000000025,-3.9604025732846493,1.0123729562527617,-26.19461396189472,2.9802631578947367,81,"{'sl': 73, 'tp': 79}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,30,5,35,20,0.5714285714285714,0.3285714285714285,11.499999999999998,10.449600921638002,1.2473118279569888,-9.803686675838874,2.942857142857143,28,"{'sl': 15, 'tp': 20}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,30,3,156,82,0.5256410256410257,0.053846153846153814,8.399999999999995,1.395862145765392,1.0366172624237138,-24.05425776678969,2.967948717948718,81,"{'sl': 74, 'tp': 82}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,45,5,35,20,0.5714285714285714,0.3285714285714285,11.499999999999998,10.449600921638002,1.2473118279569888,-9.803686675838874,2.942857142857143,28,"{'sl': 15, 'tp': 20}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,60,5,35,20,0.5714285714285714,0.3285714285714285,11.499999999999998,10.449600921638002,1.2473118279569888,-9.803686675838874,2.942857142857143,28,"{'sl': 15, 'tp': 20}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,45,3,156,82,0.5256410256410257,0.053846153846153814,8.399999999999995,1.395862145765392,1.0366172624237138,-24.05425776678969,2.967948717948718,81,"{'sl': 74, 'tp': 82}",스토캐스틱 3바닥 다이버전스
div_stoch3,3.0,3.0,14,5,60,3,156,82,0.5256410256410257,0.053846153846153814,8.399999999999995,1.395862145765392,1.0366172624237138,-24.05425776678969,2.967948717948718,81,"{'sl': 74, 'tp': 82}",스토캐스틱 3바닥 다이버전스
