ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
091810.KS,2020-11-16,2020-11-17,2910.3391,2793.9255,-4.1,1,sl
009830.KS,2021-01-11,2021-01-12,59548.457,57166.5187,-4.1,1,sl
005490.KS,2021-03-05,2021-03-08,258662.875,266422.7612,2.9,1,tp
039490.KS,2021-04-12,2021-04-29,112700.2422,108192.2325,-4.1,13,sl
071050.KS,2021-04-12,2021-04-13,81396.8594,83838.7652,2.9,1,tp
003550.KS,2021-04-28,2021-05-27,114824.0859,110231.1225,-4.1,19,sl
034020.KS,2021-05-28,2021-05-31,17131.3887,17645.3303,2.9,1,tp
035510.KS,2021-06-18,2021-06-22,17062.4609,17574.3348,2.9,2,tp
009160.KS,2021-06-23,2021-06-24,8840.9512,9106.1797,2.9,1,tp
247540.KS,2021-06-24,2021-06-28,52772.6367,50661.7312,-4.1,2,sl
035510.KS,2021-08-13,2021-08-17,19468.7051,20052.7662,2.9,1,tp
009160.KS,2021-09-07,2021-09-08,14176.3027,14601.5918,2.9,1,tp
000070.KS,2021-09-10,2021-09-14,114306.3203,109734.0675,-4.1,2,sl
298040.KS,2021-09-10,2021-09-14,74237.2969,76464.4158,2.9,2,tp
028050.KS,2021-09-27,2021-09-29,24159.1348,24883.9088,2.9,2,tp
051910.KS,2021-10-08,2021-10-12,724912.0,746659.36,2.9,1,tp
247540.KS,2021-11-11,2021-11-19,138322.6875,132789.78,-4.1,6,sl
011070.KS,2021-11-12,2021-11-15,229401.75,236283.8025,2.9,1,tp
011070.KS,2021-11-18,2021-11-19,270163.2188,278268.1153,2.9,1,tp
329180.KS,2022-03-08,2022-03-18,110144.5859,105738.8025,-4.1,7,sl
012450.KS,2022-03-15,2022-03-18,57989.4922,55669.9125,-4.1,3,sl
028050.KS,2022-03-15,2022-03-18,25878.1484,24843.0225,-4.1,3,sl
105630.KS,2022-04-01,2022-04-04,23108.9922,23802.262,2.9,1,tp
010140.KS,2022-04-19,2022-04-21,6350.0,6096.0,-4.1,2,sl
009150.KS,2022-07-26,2022-07-28,135468.7969,139532.8608,2.9,2,tp
103140.KS,2022-07-26,2022-07-28,22860.1934,23545.9992,2.9,2,tp
012450.KS,2022-08-03,2022-08-05,66576.6016,68573.8996,2.9,2,tp
247540.KS,2022-08-03,2022-08-04,126851.2734,130656.8116,2.9,1,tp
051910.KS,2022-08-05,2022-08-09,620943.875,639572.1913,2.9,2,tp
009830.KS,2022-08-09,2022-08-10,47858.2109,49293.9573,2.9,1,tp
010130.KS,2022-08-16,2022-08-17,530830.375,546755.2863,2.9,1,tp
010140.KS,2022-08-17,2022-08-24,5990.0,6169.7,2.9,5,tp
298040.KS,2022-08-17,2022-08-18,64848.7461,66794.2085,2.9,1,tp
298040.KS,2022-08-24,2022-08-25,69397.8281,71479.763,2.9,1,tp
011810.KS,2022-10-13,2022-10-14,5368.8267,5529.8915,2.9,1,tp
002380.KS,2022-11-02,2022-11-03,219790.4062,210998.79,-4.1,1,sl
099750.KS,2022-11-04,2022-11-07,8975.0,9244.25,2.9,1,tp
000150.KS,2022-11-10,2022-11-11,87107.1328,89720.3468,2.9,1,tp
011070.KS,2022-11-10,2022-11-11,274826.5312,283071.3272,2.9,1,tp
051910.KS,2022-11-11,2022-11-14,712828.0625,734212.9044,2.9,1,tp
298040.KS,2022-11-15,2022-11-16,69881.7891,71978.2427,2.9,1,tp
298040.KS,2022-11-18,2022-11-21,71140.0391,73274.2402,2.9,1,tp
298040.KS,2022-11-24,2022-11-28,83916.2109,86433.6973,2.9,2,tp
099750.KS,2023-01-19,2023-01-20,12650.0,12144.0,-4.1,1,sl
373220.KS,2023-01-20,2023-01-25,469500.0,483585.0,2.9,1,tp
373220.KS,2023-02-01,2023-02-03,522000.0,537660.0,2.9,2,tp
000150.KS,2023-03-07,2023-03-09,103902.8047,107019.8888,2.9,2,tp
042700.KS,2023-03-28,2023-03-29,20775.9414,21399.2196,2.9,1,tp
000990.KS,2023-04-10,2023-04-11,72345.7578,74516.1305,2.9,1,tp
047810.KS,2023-04-11,2023-04-17,49704.7305,51195.8724,2.9,4,tp
011810.KS,2023-04-19,2023-04-20,9734.2559,10026.2835,2.9,1,tp
180640.KS,2023-06-09,2023-06-13,46873.6836,48279.8941,2.9,2,tp
105630.KS,2023-06-27,2023-06-28,17634.5391,18163.5752,2.9,1,tp
011810.KS,2023-07-05,2023-07-06,17266.25,17784.2375,2.9,1,tp
000150.KS,2023-08-01,2023-08-02,113463.8047,108925.2525,-4.1,1,sl
000150.KS,2023-08-03,2023-08-07,102927.1875,106015.0031,2.9,2,tp
021050.KS,2023-08-14,2023-08-16,2160.0,2224.8,2.9,1,tp
011150.KS,2023-08-28,2023-08-29,3540.0,3646.2,2.9,1,tp
021050.KS,2023-10-06,2023-10-10,1704.0,1755.12,2.9,1,tp
161390.KS,2023-11-08,2023-11-14,38062.3359,39204.206,2.9,4,tp
012450.KS,2023-11-13,2023-11-15,134396.2031,138428.0892,2.9,2,tp
247540.KS,2023-11-14,2023-11-15,248877.0312,256343.3422,2.9,1,tp
000150.KS,2023-11-24,2023-11-27,84585.6641,87123.234,2.9,1,tp
011810.KS,2023-11-24,2023-11-27,14120.0,14543.6,2.9,1,tp
003090.KS,2023-11-27,2023-11-28,16324.4531,16814.1867,2.9,1,tp
005490.KS,2023-11-29,2023-12-05,446814.75,428942.16,-4.1,4,sl
