indicator,tp_pct,sl_pct,short,long,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
sma_gc,3.0,3.0,10,200,716,372,0.5195530726256983,0.021508379888268123,15.399999999999977,-15.444779140013921,1.0144818506676692,-53.2131736771408,3.8421787709497206,98,"{'tp': 372, 'sl': 343, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,10,50,1921,983,0.5117126496616345,-0.02877553357626239,-55.277800000000056,-75.76409463073506,0.9809617200654609,-95.64838140006978,3.688183237896929,98,"{'tp': 982, 'sl': 936, 'end': 3}",SMA 골든크로스
sma_gc,3.0,3.0,5,200,968,508,0.5247933884297521,0.05185950413223134,50.19999999999993,6.952153562433572,1.0352775825720304,-65.70216246411096,3.475206611570248,98,"{'tp': 508, 'sl': 459, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,3,200,1223,623,0.509403107113655,-0.04005085854456257,-48.98220000000003,-64.66925106458432,0.9736042087378969,-81.75754175091595,3.384300899427637,98,"{'tp': 623, 'sl': 598, 'end': 2}",SMA 골든크로스
sma_gc,3.0,3.0,3,100,1929,992,0.514256091238984,-0.012908242612752774,-24.9000000000001,-67.29060042977284,0.9914188234483228,-74.41612715207708,3.5023328149300155,98,"{'tp': 992, 'sl': 936, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,10,20,3931,1981,0.5039430170440091,-0.07481556855761898,-294.1000000000002,-99.10317836695613,0.9512998840867688,-99.68931058455425,3.6367336555583822,99,"{'sl': 1948, 'tp': 1981, 'end': 2}",SMA 골든크로스
sma_gc,3.0,3.0,5,100,1567,774,0.49393746011486916,-0.13446075303127,-210.70000000000007,-94.0090322939955,0.9141856392294216,-94.94884210753021,3.5507338864071474,98,"{'sl': 792, 'tp': 774, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,5,50,2517,1270,0.5045689312673818,-0.07105824394119985,-178.85360000000003,-94.6212629443573,0.9536602232830131,-96.65154752887409,3.6301152165276123,98,"{'tp': 1269, 'sl': 1244, 'end': 4}",SMA 골든크로스
sma_gc,3.0,3.0,5,20,4403,2249,0.5107880990233932,-0.03329393595275953,-146.5932000000002,-96.82226711020263,0.9780177021788912,-98.99028334047554,3.51237792414263,98,"{'tp': 2249, 'sl': 2150, 'end': 4}",SMA 골든크로스
sma_gc,3.0,3.0,3,50,3087,1599,0.5179786200194364,0.008707321023647527,26.879499999999915,-67.3227913733834,1.0058373820609174,-81.9392441572901,3.5273728539034663,98,"{'tp': 1597, 'sl': 1484, 'end': 6}",SMA 골든크로스
sma_gc,3.0,3.0,5,250,863,427,0.4947856315179606,-0.1310524913093859,-113.09830000000004,-78.1324762362056,0.9161365119383058,-81.09653216316889,3.6442641946697565,98,"{'tp': 426, 'sl': 435, 'end': 2}",SMA 골든크로스
sma_gc,3.0,3.0,10,250,633,298,0.4707740916271722,-0.27106998420221173,-171.58730000000003,-86.49093018530941,0.8338924228621984,-87.24164457676781,3.6192733017377567,98,"{'tp': 297, 'sl': 333, 'end': 3}",SMA 골든크로스
sma_gc,3.0,3.0,3,250,1084,529,0.48800738007380073,-0.16563201107011075,-179.54510000000005,-89.81060501197456,0.895057570574029,-91.18551607581539,3.540590405904059,98,"{'tp': 528, 'sl': 551, 'end': 5}",SMA 골든크로스
sma_gc,3.0,3.0,3,20,5147,2651,0.5150573149407421,-0.00794521080240919,-40.894000000000105,-93.43969495119734,0.994706603115873,-97.70782715372471,3.442393627355741,98,"{'tp': 2649, 'sl': 2490, 'end': 8}",SMA 골든크로스
sma_gc,3.0,3.0,10,100,1155,562,0.48658008658008656,-0.17792207792207795,-205.50000000000003,-92.40230039183909,0.888029205034599,-92.67719774592877,3.5714285714285716,98,"{'sl': 592, 'tp': 562, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,20,200,531,250,0.4708097928436911,-0.26949152542372884,-143.10000000000002,-81.20394301404639,0.8351572399493142,-89.1832504217947,3.7080979284369113,98,"{'tp': 250, 'sl': 280, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,20,100,851,426,0.500587544065805,-0.09294947121034083,-79.10000000000005,-69.11151508961929,0.9398250285279568,-84.07438542713538,3.7837837837837838,98,"{'sl': 424, 'tp': 426, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,20,50,1585,805,0.5078864353312302,-0.04820328075709783,-76.40220000000006,-77.16232959155387,0.968288140600026,-85.85914293133003,3.768454258675079,98,"{'sl': 776, 'tp': 804, 'end': 5}",SMA 골든크로스
sma_gc,3.0,3.0,50,250,293,134,0.45733788395904434,-0.34573378839590446,-101.30000000000001,-68.20326843992142,0.7932231067564806,-74.91176870726332,3.8839590443686007,98,"{'tp': 134, 'sl': 158, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,20,250,461,218,0.47288503253796094,-0.256182212581345,-118.10000000000004,-75.08440672875861,0.8425962948154065,-79.00722332475483,3.353579175704989,98,"{'sl': 242, 'tp': 218, 'end': 1}",SMA 골든크로스
sma_gc,3.0,3.0,50,100,650,338,0.52,0.028097692307692292,18.26349999999999,-10.322211341763444,1.0189861804807276,-66.79210897253294,3.6538461538461537,98,"{'tp': 338, 'sl': 310, 'end': 2}",SMA 골든크로스
sma_gc,3.0,3.0,50,200,350,149,0.4257142857142857,-0.5243577142857142,-183.52519999999998,-86.385254049185,0.7018880968485367,-87.75015517264806,4.154285714285714,98,"{'tp': 149, 'sl': 198, 'end': 3}",SMA 골든크로스
