indicator,tp_pct,sl_pct,period,threshold,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
williams_r,3.0,3.0,9,70,10678,5438,0.5092713991384155,-0.04380048698258104,-467.7016000000003,-99.99238548077193,0.9711600718140733,-99.9967089078638,3.1916089155272522,102,"{'sl': 5228, 'tp': 5429, 'end': 21}",윌리엄스 %R
williams_r,3.0,3.0,9,80,10438,5265,0.5044069745161909,-0.0728334738455643,-760.2358000000002,-99.99954770421638,0.952529124698699,-99.99991611371952,3.1341253113623297,100,"{'tp': 5259, 'sl': 5164, 'end': 15}",윌리엄스 %R
williams_r,3.0,3.0,9,90,8674,4343,0.5006917223887479,-0.09590921143647686,-831.9165000000003,-99.99951302306677,0.937993408097335,-99.9996244077158,3.0373530089923912,100,"{'tp': 4338, 'sl': 4327, 'end': 9}",윌리엄스 %R
williams_r,3.0,3.0,14,70,8473,4275,0.5045438451551989,-0.07284691372595306,-617.2319000000003,-99.99541724033648,0.9525221927662723,-99.99686785066774,3.255045438451552,99,"{'sl': 4191, 'tp': 4269, 'end': 13}",윌리엄스 %R
williams_r,3.0,3.0,14,80,8356,4165,0.49844423168980373,-0.10891315222594547,-910.0783000000004,-99.99974293638469,0.9298808526238584,-99.99991993265527,3.2152943992340832,99,"{'tp': 4161, 'sl': 4185, 'end': 10}",윌리엄스 %R
williams_r,3.0,3.0,14,90,7350,3707,0.5043537414965986,-0.07410219047619053,-544.6511000000004,-99.98433552849632,0.9517550573822668,-99.98978618632741,3.037142857142857,99,"{'tp': 3704, 'sl': 3641, 'end': 5}",윌리엄스 %R
williams_r,3.0,3.0,20,70,7009,3596,0.5130546440291054,-0.021667299186759914,-151.86610000000024,-99.0668936947289,0.985637355116515,-99.26343378331445,3.2551005849621917,99,"{'sl': 3410, 'tp': 3593, 'end': 6}",윌리엄스 %R
williams_r,3.0,3.0,20,80,6999,3476,0.4966423774824975,-0.11987503929132738,-839.0054000000003,-99.99903755111607,0.923143500375142,-99.99923772390574,3.264894984997857,99,"{'sl': 3520, 'tp': 3475, 'end': 4}",윌리엄스 %R
williams_r,3.0,3.0,20,90,6346,3214,0.506460762685156,-0.06107611093602275,-387.58900000000034,-99.88153449268162,0.9600760759808029,-99.92680833636852,3.0584620233217774,98,"{'tp': 3214, 'sl': 3131, 'end': 1}",윌리엄스 %R
