indicator,tp_pct,sl_pct,period,div_window,min_gap,thr_cross,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_rsi,3.0,3.0,9,10,3,30.0,506,271,0.5355731225296443,0.11343873517786557,57.39999999999998,41.46668198927603,1.0787920384351402,-50.933443794845054,2.8814229249011856,97,"{'tp': 271, 'sl': 235}",RSI 다이버전스
div_rsi,3.0,3.0,9,14,2,30.0,737,385,0.5223880597014925,0.03432835820895518,25.29999999999997,-7.553855086588102,1.023185483870967,-73.17003808019808,2.96472184531886,98,"{'tp': 385, 'sl': 352}",RSI 다이버전스
div_rsi,3.0,3.0,9,10,3,50.0,573,300,0.5235602094240838,0.04136125654450262,23.700000000000003,-2.0501977386117365,1.028004253810705,-63.923319411048965,3.356020942408377,98,"{'sl': 273, 'tp': 300}",RSI 다이버전스
div_rsi,3.0,3.0,9,10,2,50.0,813,426,0.5239852398523985,0.04391143911439112,35.69999999999998,-0.8594400606696695,1.0297574393598394,-70.91771722823688,3.2324723247232474,98,"{'sl': 387, 'tp': 426}",RSI 다이버전스
div_rsi,3.0,3.0,9,14,3,30.0,518,274,0.528957528957529,0.0737451737451737,38.199999999999974,16.095205681432212,1.0505023796932833,-51.07568774128373,2.913127413127413,97,"{'tp': 274, 'sl': 244}",RSI 다이버전스
div_rsi,3.0,3.0,9,10,2,30.0,726,382,0.5261707988980716,0.05702479338842974,41.39999999999999,9.15721952793267,1.0388222055513874,-69.47991096353596,2.9449035812672175,98,"{'tp': 382, 'sl': 344}",RSI 다이버전스
div_rsi,3.0,3.0,9,14,2,50.0,837,440,0.5256869772998806,0.054121863799283125,45.299999999999976,7.970319029828232,1.0368083204680256,-70.33384079599759,3.271206690561529,98,"{'sl': 397, 'tp': 440}",RSI 다이버전스
div_rsi,3.0,3.0,9,20,2,50.0,841,443,0.5267538644470868,0.06052318668252078,50.89999999999998,13.99197703360442,1.0412546603987671,-69.4735221790815,3.291319857312723,98,"{'sl': 398, 'tp': 443}",RSI 다이버전스
div_rsi,3.0,3.0,9,14,3,50.0,597,314,0.525963149078727,0.05577889447236178,33.29999999999998,6.6735088599715775,1.037957369200957,-63.108429604690976,3.40536013400335,98,"{'sl': 283, 'tp': 314}",RSI 다이버전스
div_rsi,3.0,3.0,9,20,2,30.0,738,385,0.521680216802168,0.030081300813008097,22.199999999999974,-10.419685578903826,1.0202869414237405,-73.17003808019808,2.9634146341463414,98,"{'tp': 385, 'sl': 353}",RSI 다이버전스
div_rsi,3.0,3.0,9,20,3,30.0,519,274,0.5279383429672447,0.06763005780346816,35.09999999999997,12.496254305307852,1.0462146148782088,-51.07568774128373,2.9113680154142583,97,"{'tp': 274, 'sl': 245}",RSI 다이버전스
div_rsi,3.0,3.0,9,20,3,50.0,601,317,0.5274542429284526,0.06472545757071543,38.89999999999998,12.622841919181017,1.0441844616083593,-61.129295676075834,3.43261231281198,98,"{'sl': 284, 'tp': 317}",RSI 다이버전스
div_rsi,3.0,3.0,9,30,2,30.0,740,386,0.5216216216216216,0.02972972972972971,21.999999999999986,-10.679378910410664,1.020047384727537,-74.00176689971197,2.960810810810811,98,"{'tp': 386, 'sl': 354}",RSI 다이버전스
div_rsi,3.0,3.0,9,30,3,30.0,521,275,0.527831094049904,0.06698656429942414,34.89999999999998,12.170127664076702,1.0457644899029628,-52.592341421303956,2.907869481765835,97,"{'tp': 275, 'sl': 246}",RSI 다이버전스
div_rsi,3.0,3.0,9,30,2,50.0,843,445,0.527876631079478,0.0672597864768683,56.699999999999974,20.699378954238657,1.0459555843734794,-68.58825432227485,3.288256227758007,98,"{'sl': 398, 'tp': 445}",RSI 다이버전스
div_rsi,3.0,3.0,9,30,3,50.0,603,319,0.5290215588723052,0.07412935323383082,44.69999999999999,19.249682560547356,1.0507723761926395,-60.002045250682066,3.427860696517413,98,"{'sl': 284, 'tp': 319}",RSI 다이버전스
div_rsi,3.0,3.0,14,10,2,30.0,300,150,0.5,-0.10000000000000005,-30.000000000000014,-35.304693907730524,0.9354838709677417,-49.66741882844276,2.9133333333333336,93,"{'tp': 150, 'sl': 150}",RSI 다이버전스
div_rsi,3.0,3.0,14,10,3,30.0,214,106,0.4953271028037383,-0.1280373831775701,-27.400000000000002,-30.976393696862946,0.9181600955794496,-40.46322714832298,2.8551401869158877,85,"{'tp': 106, 'sl': 108}",RSI 다이버전스
div_rsi,3.0,3.0,14,10,2,50.0,531,288,0.5423728813559322,0.15423728813559318,81.89999999999998,78.77457526709289,1.1087216248506564,-65.0105945743665,3.305084745762712,99,"{'tp': 288, 'sl': 243}",RSI 다이버전스
div_rsi,3.0,3.0,14,14,2,30.0,307,153,0.498371335504886,-0.10977198697068408,-33.70000000000001,-37.85388212182562,0.929409300377042,-51.65067279936495,2.9218241042345277,93,"{'tp': 153, 'sl': 154}",RSI 다이버전스
div_rsi,3.0,3.0,14,10,3,50.0,382,205,0.5366492146596858,0.11989528795811517,45.8,33.1865484584472,1.083470020047384,-41.21676567364294,3.277486910994764,99,"{'tp': 205, 'sl': 177}",RSI 다이버전스
div_rsi,3.0,3.0,14,14,2,50.0,552,299,0.5416666666666666,0.1499999999999999,82.79999999999995,78.69510161916895,1.1055718475073308,-67.24155573106741,3.3532608695652173,99,"{'tp': 299, 'sl': 253}",RSI 다이버전스
div_rsi,3.0,3.0,14,14,3,30.0,221,109,0.49321266968325794,-0.14072398190045257,-31.100000000000016,-33.696129861822875,0.9104262672811051,-42.80915375144152,2.8687782805429864,85,"{'tp': 109, 'sl': 112}",RSI 다이버전스
div_rsi,3.0,3.0,14,14,3,50.0,403,216,0.5359801488833746,0.11588089330024809,46.69999999999998,33.12734081751372,1.0805589097809205,-44.96484629553531,3.3449131513647643,99,"{'tp': 216, 'sl': 187}",RSI 다이버전스
div_rsi,3.0,3.0,14,20,2,50.0,556,301,0.5413669064748201,0.14820143884892076,82.39999999999995,77.66052920953254,1.1042378241619224,-67.24155573106741,3.3633093525179856,99,"{'tp': 301, 'sl': 255}",RSI 다이버전스
div_rsi,3.0,3.0,14,20,3,30.0,221,109,0.49321266968325794,-0.14072398190045257,-31.100000000000016,-33.696129861822875,0.9104262672811051,-42.80915375144152,2.8687782805429864,85,"{'tp': 109, 'sl': 112}",RSI 다이버전스
div_rsi,3.0,3.0,14,20,2,30.0,307,153,0.498371335504886,-0.10977198697068408,-33.70000000000001,-37.85388212182562,0.929409300377042,-51.65067279936495,2.9218241042345277,93,"{'tp': 153, 'sl': 154}",RSI 다이버전스
div_rsi,3.0,3.0,14,20,3,50.0,407,218,0.5356265356265356,0.11375921375921368,46.29999999999997,32.35658732438473,1.0790237241850136,-44.96484629553525,3.3587223587223587,99,"{'tp': 218, 'sl': 189}",RSI 다이버전스
div_rsi,3.0,3.0,14,30,2,30.0,307,153,0.498371335504886,-0.10977198697068408,-33.70000000000001,-37.85388212182562,0.929409300377042,-51.65067279936495,2.9218241042345277,93,"{'tp': 153, 'sl': 154}",RSI 다이버전스
