indicator,tp_pct,sl_pct,period,peak_ratio,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
vixfix,3.0,3.0,10,0.99,12022,6134,0.510231242721677,-0.03694327067043757,-444.13200000000046,-99.99474177145515,0.9756267372209984,-99.99798261713416,3.0024954250540676,103,"{'sl': 5875, 'tp': 6127, 'end': 20}",Williams VixFix
vixfix,3.0,3.0,10,0.9,14112,7254,0.514030612244898,-0.014596038832199593,-205.97930000000065,-99.97771891323829,0.9902973129989732,-99.99434998292526,2.965702947845805,103,"{'tp': 7246, 'sl': 6845, 'end': 21}",Williams VixFix
vixfix,3.0,3.0,10,0.8,16565,8515,0.5140356172653184,-0.014661128886205906,-242.86160000000083,-99.9948952541709,0.9902554764836371,-99.99921131592936,2.9204346513733777,103,"{'tp': 8507, 'sl': 8036, 'end': 22}",Williams VixFix
vixfix,3.0,3.0,22,0.8,12191,6229,0.5109507013370519,-0.03410345336723816,-415.7552000000004,-99.99356351434291,0.9774988695995618,-99.99822212828128,2.837585103765073,98,"{'tp': 6227, 'sl': 5959, 'end': 5}",Williams VixFix
vixfix,3.0,3.0,22,0.99,7268,3704,0.5096312603192075,-0.041703123280132114,-303.0983000000002,-99.8176556773292,0.9725571227237589,-99.87993998295963,2.9156576774903686,98,"{'tp': 3704, 'sl': 3562, 'end': 2}",Williams VixFix
vixfix,3.0,3.0,22,0.9,9399,4801,0.5107990211724651,-0.03495703798276414,-328.5612000000001,-99.94585564163529,0.9769432327354538,-99.97975440444068,2.8645600595808065,98,"{'tp': 4800, 'sl': 4596, 'end': 3}",Williams VixFix
vixfix,3.0,3.0,34,0.99,5596,2829,0.5055396711937098,-0.06628114724803436,-370.90930000000026,-99.80371762228381,0.956745318048809,-99.88757692810576,2.8068263045032165,98,"{'tp': 2829, 'sl': 2766, 'end': 1}",Williams VixFix
vixfix,3.0,3.0,34,0.9,7764,3989,0.5137815558990211,-0.01722244976816078,-133.7151000000003,-99.20413386050112,0.9885693308610195,-99.75180909268504,2.7554095826893352,98,"{'tp': 3987, 'sl': 3773, 'end': 4}",Williams VixFix
vixfix,3.0,3.0,34,0.8,10749,5510,0.5126058237975626,-0.024283877570006548,-261.0274000000004,-99.94191353567173,0.9839193542562418,-99.98199861262947,2.75737277886315,98,"{'tp': 5506, 'sl': 5235, 'end': 8}",Williams VixFix
