indicator,tp_pct,sl_pct,fast,slow,signal,div_window,min_gap,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_macd,3.0,3.0,8,17,9,14,2,1177,596,0.5063721325403568,-0.06259711129991508,-73.67680000000004,-71.83106654391923,0.9590586776645492,-90.51096174678888,3.2574341546304164,98,"{'tp': 595, 'sl': 580, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,20,2,1182,600,0.5076142131979695,-0.05514111675126905,-65.17680000000001,-69.39758643552878,0.9638443096592353,-89.66124314709273,3.2622673434856178,98,"{'tp': 599, 'sl': 581, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,30,2,1182,600,0.5076142131979695,-0.05514111675126905,-65.17680000000001,-69.39758643552878,0.9638443096592353,-89.66124314709273,3.2622673434856178,98,"{'tp': 599, 'sl': 581, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,14,3,907,466,0.5137816979051819,-0.018386769570011088,-16.676800000000057,-43.70849012687751,0.9877876691252718,-81.26039653380944,3.3858875413450935,98,"{'tp': 465, 'sl': 440, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,10,3,873,445,0.5097365406643757,-0.04269965635738835,-37.27680000000003,-53.49379239670318,0.9718723104549358,-80.98638753765273,3.3940435280641466,98,"{'tp': 444, 'sl': 427, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,10,2,1143,575,0.5030621172353456,-0.08248188976377956,-94.27680000000004,-76.72774686227702,0.9464114275541236,-90.3722137817668,3.2598425196850394,98,"{'tp': 574, 'sl': 567, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,20,3,912,470,0.5153508771929824,-0.008965789473684241,-8.176800000000028,-38.845534638658776,0.994025735629887,-79.58231397251669,3.3914473684210527,98,"{'tp': 469, 'sl': 441, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,10,3,808,429,0.530940594059406,0.08564356435643564,69.19999999999999,38.965589902956445,1.0588986296706095,-53.86691973958489,3.1225247524752477,98,"{'sl': 379, 'tp': 429}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,10,2,1007,528,0.5243296921549155,0.04597815292949347,46.299999999999926,1.0199343361457558,1.0311805508788463,-65.36660236557725,3.089374379344588,98,"{'sl': 479, 'tp': 528}",MACD 다이버전스
div_macd,3.0,3.0,8,17,9,30,3,912,470,0.5153508771929824,-0.008965789473684241,-8.176800000000028,-38.845534638658776,0.994025735629887,-79.58231397251669,3.3914473684210527,98,"{'tp': 469, 'sl': 441, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,14,2,1033,539,0.5217812197483059,0.03068731848983533,31.699999999999896,-13.73535090823561,1.0207000130599446,-74.14011745132112,3.095837366892546,98,"{'tp': 539, 'sl': 494}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,14,3,835,441,0.5281437125748503,0.0688622754491018,57.50000000000001,22.109211884631797,1.0470771246111013,-57.836421493531866,3.126946107784431,98,"{'tp': 441, 'sl': 394}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,20,2,1038,543,0.523121387283237,0.03872832369942184,40.199999999999875,-6.283052156868418,1.0261974584555225,-72.61849610227429,3.0944123314065513,98,"{'tp': 543, 'sl': 495}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,30,2,1038,543,0.523121387283237,0.03872832369942184,40.199999999999875,-6.283052156868418,1.0261974584555225,-72.61849610227429,3.0944123314065513,98,"{'tp': 543, 'sl': 495}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,30,3,840,445,0.5297619047619048,0.07857142857142854,65.99999999999997,32.65807908387406,1.0538995508370756,-56.613677716844315,3.125,98,"{'tp': 445, 'sl': 395}",MACD 다이버전스
div_macd,3.0,3.0,12,26,9,20,3,840,445,0.5297619047619048,0.07857142857142854,65.99999999999997,32.65807908387406,1.0538995508370756,-56.613677716844315,3.125,98,"{'tp': 445, 'sl': 395}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,10,2,993,530,0.5337361530715005,0.0995250755287009,98.82839999999999,72.1091594496983,1.0688555702640556,-56.952770706226616,3.133937562940584,98,"{'sl': 463, 'tp': 528, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,10,3,800,433,0.54125,0.14391049999999997,115.12839999999997,121.0192163635786,1.1011939878702637,-46.46830151171058,3.16,98,"{'sl': 367, 'tp': 431, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,14,3,826,445,0.5387409200968523,0.12896900726392246,106.52839999999995,100.42293174969589,1.090194225721784,-46.64583893556181,3.1670702179176757,98,"{'tp': 443, 'sl': 381, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,14,2,1018,541,0.5314341846758349,0.08578428290766203,87.32839999999995,51.67219945868071,1.059057550551159,-58.649773121620875,3.142436149312377,98,"{'tp': 539, 'sl': 477, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,20,2,1022,545,0.5332681017612525,0.09679882583170249,98.92839999999994,70.04641632231099,1.066902279028876,-56.21668442187031,3.1418786692759295,98,"{'tp': 543, 'sl': 477, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,20,3,830,449,0.5409638554216868,0.14232337349397586,118.12839999999996,124.70302016113087,1.1000155786978234,-46.64583893556177,3.166265060240964,98,"{'tp': 447, 'sl': 381, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,30,2,1022,545,0.5332681017612525,0.09679882583170249,98.92839999999994,70.04641632231099,1.066902279028876,-56.21668442187031,3.1418786692759295,98,"{'tp': 543, 'sl': 477, 'end': 2}",MACD 다이버전스
div_macd,3.0,3.0,10,30,9,30,3,830,449,0.5409638554216868,0.14232337349397586,118.12839999999996,124.70302016113087,1.1000155786978234,-46.64583893556177,3.166265060240964,98,"{'tp': 447, 'sl': 381, 'end': 2}",MACD 다이버전스
