indicator,tp_pct,sl_pct,atr_period,multiplier,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
supertrend,3.0,3.0,7,3.0,5854,2951,0.5040997608472839,-0.07610261359754018,-445.50470000000024,-99.91717393580365,0.9504956274376891,-99.95475269874223,2.675435599590024,100,"{'tp': 2949, 'sl': 2903, 'end': 2}",슈퍼트렌드
supertrend,3.0,3.0,10,2.0,9969,5047,0.5062694352492727,-0.06260753335339554,-624.1345000000001,-99.99782658978903,0.9590836331313674,-99.99979097140414,2.826662654228107,102,"{'tp': 5044, 'sl': 4920, 'end': 5}",슈퍼트렌드
supertrend,3.0,3.0,7,2.0,9939,5021,0.5051816078076266,-0.06941148002817187,-689.8807000000002,-99.99886006535328,0.9547456240979001,-99.99980731681582,2.8273468155750074,101,"{'tp': 5018, 'sl': 4917, 'end': 4}",슈퍼트렌드
supertrend,3.0,3.0,7,4.0,3894,2004,0.514637904468413,-0.012907139188495174,-50.26040000000021,-89.52615309280115,0.9914216760539335,-95.21337380204707,2.601438109912686,98,"{'tp': 2003, 'sl': 1890, 'end': 1}",슈퍼트렌드
supertrend,3.0,3.0,10,4.0,3894,1951,0.5010272213662044,-0.09457123780174631,-368.2604000000001,-99.56623795979276,0.9388606909833473,-99.74205577712476,2.5338983050847457,100,"{'tp': 1950, 'sl': 1943, 'end': 1}",슈퍼트렌드
supertrend,3.0,3.0,10,3.0,5834,2953,0.5061707233459033,-0.06367924237230037,-371.50470000000035,-99.82466255286336,0.9584032537985238,-99.94822971127839,2.6318135070277684,102,"{'tp': 2951, 'sl': 2881, 'end': 2}",슈퍼트렌드
supertrend,3.0,3.0,14,2.0,9978,5050,0.506113449589096,-0.06328528763279215,-631.4606000000001,-99.9979905340511,0.9586572693108456,-99.99969709711087,2.8031669673281217,101,"{'tp': 5049, 'sl': 4927, 'end': 2}",슈퍼트렌드
supertrend,3.0,3.0,14,3.0,5833,2956,0.5067718155323161,-0.05957848448482774,-347.5213000000002,-99.77706976029148,0.9610345341809898,-99.88605742425257,2.650437167838162,101,"{'tp': 2955, 'sl': 2877, 'end': 1}",슈퍼트렌드
supertrend,3.0,3.0,14,4.0,3869,1979,0.5115016800206772,-0.03172923235978293,-122.76040000000016,-94.87466977039887,0.9790475507765826,-98.38510954751803,2.4993538382010856,100,"{'tp': 1978, 'sl': 1890, 'end': 1}",슈퍼트렌드
