indicator,tp_pct,sl_pct,period,threshold,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
rsi,3.0,3.0,2,20.0,13257,6688,0.5044881949158935,-0.07332826431319307,-972.1128000000006,-99.99998477456205,0.9522278286527308,-99.99999618584458,3.128007844912122,103,"{'tp': 6680, 'sl': 6563, 'end': 14}",RSI
rsi,3.0,3.0,2,25.0,14731,7505,0.5094698255379811,-0.04352020908288647,-641.0962000000006,-99.99978410820829,0.9713576298112765,-99.9999583754009,3.112415993483131,103,"{'tp': 7496, 'sl': 7219, 'end': 16}",RSI
rsi,3.0,3.0,5,20.0,3766,1932,0.5130111524163569,-0.021933085501858768,-82.60000000000012,-91.977473651604,0.9854715587293764,-98.3402374298479,3.070631970260223,99,"{'tp': 1932, 'sl': 1834}",RSI
rsi,3.0,3.0,5,25.0,5684,2887,0.5079169598874033,-0.05317602040816331,-302.2525000000003,-99.62470477343373,0.9651409344112929,-99.74465066009594,3.237332864180155,99,"{'sl': 2797, 'tp': 2885, 'end': 2}",RSI
rsi,3.0,3.0,9,20.0,869,485,0.5581127733026467,0.24867663981588028,216.09999999999997,488.5551270112991,1.181535618279569,-49.521080440640354,2.9217491369390105,98,"{'tp': 485, 'sl': 384}",RSI
rsi,3.0,3.0,2,30.0,15934,8130,0.5102296975021966,-0.03893537090498311,-620.3962000000009,-99.99984547865046,0.9743368486702241,-99.99997591647909,3.0712313292330866,103,"{'tp': 8121, 'sl': 7797, 'end': 16}",RSI
rsi,3.0,3.0,9,25.0,1955,1044,0.5340153452685422,0.10409207161125314,203.4999999999999,218.13550842799992,1.0720583548741183,-70.23435633648094,2.9979539641943735,98,"{'sl': 911, 'tp': 1044}",RSI
rsi,3.0,3.0,2,35.0,16769,8535,0.5089748941499195,-0.04648681495616917,-779.5374000000008,-99.99997841441596,0.9694356100365422,-99.99999587136527,3.068936728487089,103,"{'sl': 8226, 'tp': 8524, 'end': 19}",RSI
rsi,3.0,3.0,5,30.0,7572,3815,0.5038298996302166,-0.07669952456418389,-580.7688000000004,-99.99011117073545,0.950086204329334,-99.99408855269668,3.260301109350238,100,"{'sl': 3753, 'tp': 3811, 'end': 8}",RSI
rsi,3.0,3.0,9,30.0,3576,1858,0.5195749440715883,0.017449664429530155,62.399999999999835,-62.67367081661999,1.0117165496263467,-84.71021943062627,3.183165548098434,99,"{'tp': 1858, 'sl': 1718}",RSI
rsi,3.0,3.0,5,35.0,9223,4663,0.5055838664209042,-0.0654413965087282,-603.5660000000001,-99.9962526197001,0.9572447043102864,-99.99777736024087,3.2678087390220103,101,"{'sl': 4553, 'tp': 4659, 'end': 11}",RSI
rsi,3.0,3.0,14,20.0,152,95,0.625,0.65,98.80000000000001,151.14000254927697,1.5591397849462352,-28.514373761894774,2.2171052631578947,64,"{'tp': 95, 'sl': 57}",RSI
rsi,3.0,3.0,2,50.0,17491,8921,0.5100337316334115,-0.03965170659196162,-693.5480000000007,-99.99996308725655,0.9738692217370494,-99.99999701343593,3.05602881481905,103,"{'sl': 8559, 'tp': 8911, 'end': 21}",RSI
rsi,3.0,3.0,14,25.0,599,322,0.5375626043405676,0.12537562604340563,75.09999999999998,61.970870606618945,1.087457785023873,-45.09998758663938,2.7762938230383973,100,"{'tp': 322, 'sl': 277}",RSI
rsi,3.0,3.0,14,30.0,1537,824,0.5361093038386467,0.11665582303188024,179.29999999999993,201.3851442468466,1.0811202099262538,-54.31719182224821,3.047495120364346,99,"{'tp': 824, 'sl': 713}",RSI
rsi,3.0,3.0,9,35.0,5358,2764,0.5158641284061217,-0.005638689809630499,-30.212100000000213,-93.37579458659077,0.996242930335513,-97.98771646427411,3.347704367301232,100,"{'sl': 2594, 'tp': 2762, 'end': 2}",RSI
rsi,3.0,3.0,21,20.0,19,6,0.3157894736842105,-1.205263157894737,-22.900000000000006,-21.168216857851352,0.4317617866004962,-22.943785145037577,2.1578947368421053,16,"{'sl': 13, 'tp': 6}",RSI
rsi,3.0,3.0,5,50.0,11346,5779,0.5093424995593161,-0.04285203595980966,-486.19920000000036,-99.99532473152327,0.9717848225784413,-99.99887832449714,3.219460602855632,102,"{'sl': 5556, 'tp': 5774, 'end': 16}",RSI
rsi,3.0,3.0,9,50.0,8537,4277,0.5009956659247979,-0.09395271172543053,-802.0743000000004,-99.99930025445984,0.9391926451689816,-99.99955553353419,3.2717582288860254,101,"{'sl': 4253, 'tp': 4271, 'end': 13}",RSI
rsi,3.0,3.0,21,25.0,107,65,0.6074766355140186,0.5448598130841122,58.300000000000004,70.84331732671562,1.4477726574500767,-15.799505063732433,2.1869158878504673,53,"{'sl': 42, 'tp': 65}",RSI
rsi,3.0,3.0,14,35.0,3047,1575,0.5169018706924844,0.0014112241549064178,4.299999999999855,-73.5262740055206,1.00094232117812,-91.77584592427645,3.250082047915983,101,"{'tp': 1575, 'sl': 1472}",RSI
rsi,3.0,3.0,21,35.0,1517,812,0.5352669742913645,0.11160184574818718,169.29999999999995,175.13581550782465,1.0774651109585902,-60.93769271106062,3.102834541858932,98,"{'tp': 812, 'sl': 705}",RSI
rsi,3.0,3.0,21,30.0,528,286,0.5416666666666666,0.1499999999999999,79.19999999999995,74.24135042424184,1.1055718475073308,-45.294929028208486,2.772727272727273,95,"{'sl': 242, 'tp': 286}",RSI
rsi,3.0,3.0,14,50.0,6993,3466,0.49563849563849566,-0.12682013442013446,-886.8532000000002,-99.99940042496493,0.9188104135748822,-99.99957463981242,3.333047333047333,100,"{'sl': 3522, 'tp': 3460, 'end': 11}",RSI
rsi,3.0,3.0,21,50.0,5761,2812,0.48810970317653185,-0.1721204478389169,-991.5859000000003,-99.99963471613917,0.8914619274858162,-99.99970920194666,3.3105363652143724,99,"{'sl': 2946, 'tp': 2808, 'end': 7}",RSI
