indicator,tp_pct,sl_pct,n,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
donchian,3.0,3.0,10,7103,3438,0.4840208362663663,-0.19628642826974527,-1394.2225000000005,-99.99999646273534,0.8772548694418124,-99.99999922694465,2.82908630156272,102,"{'tp': 3436, 'sl': 3663, 'end': 4}",돈치안 돌파
donchian,3.0,3.0,20,5078,2492,0.49074438755415517,-0.15666478928712094,-795.5438000000001,-99.9964696753492,0.9007629418955663,-99.99927716411884,2.606931862938165,99,"{'tp': 2490, 'sl': 2586, 'end': 2}",돈치안 돌파
donchian,3.0,3.0,30,4188,2014,0.48089780324737347,-0.21598467048710607,-904.5438000000003,-99.99823042341188,0.8657827403032906,-99.99961652940827,2.4656160458452723,98,"{'tp': 2012, 'sl': 2174, 'end': 2}",돈치안 돌파
donchian,3.0,3.0,55,3085,1499,0.4858995137763371,-0.1855301134521881,-572.3604000000003,-99.91910647823128,0.883586136761176,-99.98141786494261,2.291085899513776,98,"{'tp': 1498, 'sl': 1586, 'end': 1}",돈치안 돌파
donchian,3.0,3.0,100,2332,1160,0.4974271012006861,-0.11543739279588339,-269.20000000000005,-97.63788287651191,0.9259055378179012,-99.28473283992408,2.1771012006861064,98,"{'tp': 1160, 'sl': 1172}",돈치안 돌파
