mode,n_trades,n_win,win_rate,profit_factor,avg_return,total_return,cum_return,max_drawdown,tickers_hit,avg_holding_bars,monthly_freq
a,147,101,0.6870748299319728,2.053997194950911,1.0224489795918366,150.29999999999998,321.5475750235304,-13.144412916516558,74,2.510204081632653,2.01
b,541,373,0.6894639556377079,2.076996927803378,1.0367837338262476,560.9,21444.14835054946,-18.409720406756737,93,3.5767097966728283,7.41
or,679,466,0.6863033873343152,2.0466454641829452,1.017820324005891,691.1,74463.99198647156,-21.396750197180424,97,3.321060382916053,9.3
and,5,5,1.0,inf,2.9,14.5,15.365744691614868,0.0,4,5.6,0.07
